"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"1",1976-01-01,148.140215304497,2046925.0851911,30358495.5789853,6818749.27210704
"2",1976-02-01,205.433037328696,1807097.82636532,20695229.9617758,3049921.96613825
"3",1976-03-01,401.116564768904,2617648.88716824,22122571.3030445,9844944.0633258
"4",1976-04-01,193.955217851019,3059654.58103595,134581238.923811,70537904.7316661
"5",1976-05-01,431.2351728279,4498200.65120525,198959742.357727,95271222.6372917
"6",1976-06-01,253.915263484601,4465885.55656998,156558226.312594,97043771.9894453
"7",1976-07-01,215.315547539721,5947743.76084741,83066146.8360565,47112181.8524771
"8",1976-08-01,371.049341686966,5876282.93611499,60630286.780963,25711791.8881214
"9",1976-09-01,415.090307972554,5183268.32558834,58249801.4328729,21366217.9397117
"10",1976-10-01,1118.80580939844,3507008.40136619,115695300.373225,66566312.4696002
"11",1976-11-01,558.31779165524,2282697.55463008,106385869.212502,68163839.4147099
"12",1976-12-01,207.9346157848,2157610.68050552,92813390.7357565,52253562.2834436
"13",1977-01-01,87.5770002979639,1964852.66761812,42640987.9238163,12512513.2751231
"14",1977-02-01,116.395917914671,1922805.94323261,29503684.5413303,5321289.86472837
"15",1977-03-01,594.929481853635,2462743.31769642,19772872.3528912,2653861.29374032
"16",1977-04-01,498.035452691794,2662652.99014558,25015922.366341,6500592.62657917
"17",1977-05-01,448.757829243524,3631980.90956535,115195539.259493,74682884.656155
"18",1977-06-01,89.5263559308805,5009037.57072502,577184421.808049,338376947.723052
"19",1977-07-01,101.327784675615,5861449.42125839,231462125.520918,162884579.44605
"20",1977-08-01,292.975143436886,5800568.96039248,171088329.009077,119064719.510838
"21",1977-09-01,102.158433426304,4523796.41115359,175306156.413558,117465523.922637
"22",1977-10-01,540.733601341399,3641125.11844599,129401802.934617,83292702.9894055
"23",1977-11-01,278.145332730043,2485429.88283934,138153451.375399,99118754.3325283
"24",1977-12-01,231.103758801461,2067467.82747809,138648446.441837,90492238.9590046
"25",1978-01-01,194.509242165538,2074248.35388084,75112632.9613074,41150396.4249417
"26",1978-02-01,74.3971491644227,1903351.23559747,56835479.8594522,23521413.6436271
"27",1978-03-01,849.136008481098,2744504.60486436,53936400.0096498,30472895.8545892
"28",1978-04-01,963.509885849304,2746906.06609308,136664023.224422,81880900.7241816
"29",1978-05-01,669.365978941236,3450766.97277539,243168236.469975,160204868.308201
"30",1978-06-01,136.094157847266,4903053.09789682,619379193.773433,391857589.100048
"31",1978-07-01,428.236293672754,5647750.47691001,380347926.783129,260056373.476168
"32",1978-08-01,493.391885895364,5549657.90710664,291908761.270827,224242893.8739
"33",1978-09-01,286.381806669295,4542562.91571934,269461832.803095,201089238.03724
"34",1978-10-01,613.483026068503,3517549.45755034,278141037.895694,207088282.769886
"35",1978-11-01,211.545907187847,2616953.60315031,195337072.449537,150641171.10581
"36",1978-12-01,218.091766611335,1986553.20254236,203432527.506301,148689837.739798
"37",1979-01-01,239.83155805663,2060075.77713218,115594518.45585,79935186.587583
"38",1979-02-01,146.081612560731,1900719.60889084,99325146.2824501,63407040.5275024
"39",1979-03-01,401.67504660815,2380442.71467303,82222068.3623875,49358995.6451501
"40",1979-04-01,707.62480371768,2951036.73403987,111318099.24791,71454348.1713552
"41",1979-05-01,702.945898468613,3417436.35496917,177636945.621809,112943816.145739
"42",1979-06-01,190.417068980781,4907864.20576526,518602119.330168,323284512.103415
"43",1979-07-01,321.599283792226,5272155.0322753,322172327.846843,224087703.164989
"44",1979-08-01,146.868520925791,5735970.76665182,192879218.337996,140712582.551368
"45",1979-09-01,129.522877956355,4724497.34184149,206208957.902657,140656669.176994
