"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"1",1976-01-01,205.630227288184,2094270.41153429,11614594.7939244,1043553.4263921
"2",1976-02-01,208.88201094124,1912336.94712222,4852436.31003108,674140.148910507
"3",1976-03-01,330.597040958235,2263748.53242686,5819955.44001356,694890.918263638
"4",1976-04-01,503.815400103129,3240400.71940483,20846140.6298795,24579745.0477657
"5",1976-05-01,452.670424785588,3967102.77498156,209965923.479498,124783219.713914
"6",1976-06-01,270.437286384702,4804182.71540492,553557312.042868,322524059.202683
"7",1976-07-01,363.799507024647,5522523.07967709,208428448.956598,146291734.368052
"8",1976-08-01,558.095823979843,5210305.4886363,233280771.426393,171369931.377246
"9",1976-09-01,461.089029358739,4135765.04296001,286288332.523294,210361337.474723
"10",1976-10-01,775.464061086303,2830331.50249966,146645783.467717,103283489.960236
"11",1976-11-01,235.389015223083,2156013.24239858,153204299.474351,113686728.007285
"12",1976-12-01,294.472598251973,1945793.50429819,161029871.91799,110955036.032966
"13",1977-01-01,169.88596677383,1946348.17464774,93245380.3653315,56176027.4677232
"14",1977-02-01,132.256446161852,1686484.26397786,72113831.6125134,37988373.7043777
"15",1977-03-01,403.986740624117,2642438.47527691,59957837.7622317,25237362.6315306
"16",1977-04-01,282.081796626408,2986699.62566982,71085653.8606551,38071738.3856561
"17",1977-05-01,620.581939628784,3792817.33406626,248135420.308077,164659304.399693
"18",1977-06-01,378.063835731956,4314448.60692888,383233173.758787,245199620.46842
"19",1977-07-01,529.348135172265,5314153.80370876,475868493.58689,297750746.666877
"20",1977-08-01,389.830681328682,5170439.68984697,189142006.436871,138209890.418194
"21",1977-09-01,270.189833370269,4062938.56369612,205252382.013483,143807054.135008
"22",1977-10-01,255.739187630536,3360374.65477181,161406080.972846,108494277.22853
"23",1977-11-01,233.286420325618,2340903.31961313,157346982.390905,109864196.274592
"24",1977-12-01,236.728672360026,2026677.36837201,160327234.13543,105629506.922715
"25",1978-01-01,99.4301353948875,2015989.7259724,89779607.939259,53652418.0323758
"26",1978-02-01,142.923459444955,1860524.67934433,73807025.7316231,38677571.4608073
"27",1978-03-01,297.253461505659,2591004.13222618,70459181.4317945,40792428.7110452
"28",1978-04-01,478.985076508614,3165844.3487243,121424620.890896,73265924.7696206
"29",1978-05-01,568.745625059731,4049503.6929705,264207859.85139,166967286.068326
"30",1978-06-01,387.352944291884,4329349.23469953,398806659.680247,218595846.772074
"31",1978-07-01,508.89491488657,5431760.95307891,230500789.485767,158810190.668419
"32",1978-08-01,637.824983625147,5298825.00562634,175515917.015858,114861797.744961
"33",1978-09-01,324.223870323335,4110643.8754612,201083338.790441,133092557.077814
"34",1978-10-01,742.299480234584,2988803.73095575,181943516.44994,122409121.476472
"35",1978-11-01,174.577537630303,2408225.5870965,171811646.871561,122462834.834665
"36",1978-12-01,224.220393532046,2119759.9582547,167008190.806188,109385479.816331
"37",1979-01-01,215.466440178539,2080751.73943403,86360216.6364789,49012263.1726861
"38",1979-02-01,234.097464908056,2068419.03984659,66108068.9242302,30255732.8219592
"39",1979-03-01,531.952609442714,2670436.18220174,54817830.6117528,19529814.9656974
"40",1979-04-01,607.636214767796,2843949.76504982,76814391.3178546,38821241.2154003
"41",1979-05-01,380.770881291196,3912205.76858509,299233645.980303,144113584.131758
"42",1979-06-01,376.185747368117,5099963.12271274,243797713.947006,139962778.053852
"43",1979-07-01,422.437063783216,5624880.99976087,194091889.955484,126475640.195523
"44",1979-08-01,639.638466099332,5191542.45973649,130634225.231538,79864707.6778505
"45",1979-09-01,195.737108385364,4444012.87500193,172608353.150114,108487227.169737
"46",1979-10-01,268.56315105739,3244222.9924596,114132167.757647,62663937.002145
"47",1979-11-01,289.469994223456,2271468.09018336,77799858.7118344,39324517.4603359
"48",1979-12-01,227.15688386496,2125790.56521276,66044242.6636303,21772154.3931568
"49",1980-01-01,68.8768011447358,2116552.87140181,38031983.0332472,5433046.70476459
"50",1980-02-01,166.751233225801,2089059.2836761,28979919.1311673,2429363.28462814
"51",1980-03-01,603.989716792098,2687348.13927698,29914188.7089394,5624941.31523146
"52",1980-04-01,538.295084437537,2978721.87615769,33562494.3949971,18338854.6430025
"53",1980-05-01,371.084476695812,3905761.21596484,158254400.360303,91825051.0203882
"54",1980-06-01,234.20916948283,4857900.57400566,453850861.623019,236891107.520789
"55",1980-07-01,339.872392331651,5776998.82722465,168975478.158689,116974056.90043
"56",1980-08-01,566.419222356359,5747917.19142318,145931002.437022,95047924.9659565
"57",1980-09-01,506.619273977075,3860736.98198412,123480770.144537,75919124.6622769
"58",1980-10-01,317.567406442329,3266389.25017157,61442166.9183221,26677418.8935813
"59",1980-11-01,284.353457970348,2473321.30386152,50848986.1072148,17073167.6046486
"60",1980-12-01,174.72455733925,2038110.03877519,59657627.9925289,21792089.5726355
"61",1981-01-01,178.354354337805,2184618.93880272,33933809.990937,6302573.56068233
"62",1981-02-01,274.181956190076,2154876.47828668,23216123.076154,3561006.93168983
"63",1981-03-01,396.37464995811,2421816.17220424,11153678.4726522,3660809.29206057
"64",1981-04-01,399.415922813445,2943446.86237493,71213490.6477168,50363779.7138169
"65",1981-05-01,493.198065399357,3752475.0794482,268818565.912374,148770117.292675
"66",1981-06-01,273.158420865158,4855739.5069691,386512470.778408,202579510.794821
"67",1981-07-01,275.847424145265,5572990.61486675,240016622.369674,158797059.803442
"68",1981-08-01,323.837133644757,5385013.92892174,183828623.662991,126206669.077963
"69",1981-09-01,155.659553558339,4148991.95613714,199867879.380058,128099710.067343
"70",1981-10-01,327.981706119747,3189527.7180231,164768962.396433,112363709.162094
"71",1981-11-01,217.539188207787,2424430.20469519,133969093.614724,88748900.3666841
"72",1981-12-01,223.205374976589,2087315.47973553,119166929.013404,73375979.0576784
"73",1982-01-01,195.783011878731,1969136.11970527,65638149.7099616,29573368.8988872
"74",1982-02-01,363.51730170342,1901577.69702344,54805094.4225157,18677487.701478
"75",1982-03-01,519.71750180242,2173188.78251055,47113953.5021012,16405204.3473367
"76",1982-04-01,373.715950134723,2896713.85674883,58665753.6676663,21839150.1470762
"77",1982-05-01,639.79247299318,3602611.38708067,187020779.335034,105468760.286486
"78",1982-06-01,282.052428418407,5002624.89440705,439836256.876503,229974900.524698
"79",1982-07-01,397.498464365044,5913400.41482947,232116331.254769,156811954.225827
"80",1982-08-01,394.521113794853,5793381.73817481,178070916.506271,118817681.302004
"81",1982-09-01,175.809737693777,4484187.73645447,207225558.341138,134650826.34279
"82",1982-10-01,238.766803779055,3509316.31512929,149207933.672955,99072476.2207893
"83",1982-11-01,189.165440844366,2281569.98007573,130984548.035261,93319743.0539577
"84",1982-12-01,368.090215473542,1991582.89827577,119021587.650496,69722741.6090073
"85",1983-01-01,289.272777311431,2204568.37993609,65799576.1876588,27106578.7706916
"86",1983-02-01,166.819125842788,2020508.62728287,57630876.1937834,20361924.3831553
"87",1983-03-01,438.970491635634,2511698.29419038,51068195.0452217,19903765.6059452
"88",1983-04-01,623.603600944141,2799651.39731573,72248621.3711736,34485303.8550464
"89",1983-05-01,479.741141514214,3372873.07076973,147440168.136272,89575627.4362654
"90",1983-06-01,356.390178742199,4523584.30375215,421614440.343525,206409147.410823
"91",1983-07-01,413.829486395613,5664828.05960887,230763760.745135,148676621.216288
"92",1983-08-01,388.997137972754,5711932.81561404,153737151.64047,97306382.4987956
"93",1983-09-01,317.428161969771,4059736.88190416,167441391.629101,100441483.865035
"94",1983-10-01,366.80257489189,3207555.81209654,146083434.3148,91086456.5222987
"95",1983-11-01,210.907700956939,2520669.01943788,114066196.052672,67084856.6615056
"96",1983-12-01,122.61853565088,2134692.27019707,96620506.5751931,52848587.3378238
"97",1984-01-01,125.882084790499,2068260.6871006,51963265.4314321,18054036.2355541
"98",1984-02-01,121.860991685583,1901864.85932525,37679187.1681044,12107687.9936496
"99",1984-03-01,337.920396929395,2519880.12548429,30666636.9256698,12703318.5957737
"100",1984-04-01,637.813977826153,2997224.16777707,125123698.762874,71064225.5907095
"101",1984-05-01,286.315904233117,4101686.09852526,232943359.51803,118363121.779849
"102",1984-06-01,238.508121304929,5162873.33157403,200689375.439128,122317587.625893
"103",1984-07-01,479.493264291358,5185646.02376083,126512911.952493,73720329.8604457
"104",1984-08-01,557.554748254739,5368030.39596969,89146426.5272286,47820226.9407448
"105",1984-09-01,263.822601665828,4157712.63743172,142882752.033715,77423914.4166189
"106",1984-10-01,477.157691922899,3292111.87939009,97055916.8338884,51101908.0880095
"107",1984-11-01,283.824368038682,2451225.79180588,88277119.4168373,51680557.7570781
"108",1984-12-01,153.961206205519,2261308.38881892,70961772.6847769,28637887.9864337
"109",1985-01-01,154.096691287835,2001358.49711632,32741454.615293,5165742.71356277
"110",1985-02-01,114.579283384578,2117927.12986056,8765599.60183409,1128681.38964196
"111",1985-03-01,399.329933725526,2256503.78367033,381044.397478178,1726081.38812994
"112",1985-04-01,629.565415119,2618664.29000373,36944729.2549041,31513972.5079504
"113",1985-05-01,412.948631034436,3861592.23992585,143277605.861802,75933158.088608
"114",1985-06-01,210.647636367142,5261300.38075013,382578698.942368,193386462.581246
"115",1985-07-01,345.06156952105,5663062.77992958,301882978.580975,181226076.81191
"116",1985-08-01,589.370711153018,5387345.05589439,183534156.331028,124496795.528568
"117",1985-09-01,224.857668217253,4410257.54545979,203721800.41065,132303384.747503
"118",1985-10-01,436.102542755298,3336485.7847553,142434057.491779,94769310.7141492
"119",1985-11-01,399.410912064007,2329820.42161924,149073387.52673,98246271.2426931
"120",1985-12-01,147.214428521358,2141514.55706367,126666064.733175,71939913.255242
"121",1986-01-01,214.029811629352,2202445.55195624,72524518.1686059,33073297.0398621
"122",1986-02-01,135.525452828511,1999446.1113644,61492376.3873105,23770271.2922637
"123",1986-03-01,213.364015810626,2362879.4502376,55887694.4256028,28006793.5210159
"124",1986-04-01,498.547511850709,2861817.3660435,145167193.797089,76106367.0676008
"125",1986-05-01,364.956044061244,4317816.45982088,198922129.580062,114103483.897584
"126",1986-06-01,237.728885333777,4437849.79031665,287182521.73442,133694307.040445
"127",1986-07-01,558.571013792298,5479516.78746534,189269009.334663,116576170.19854
"128",1986-08-01,304.608559229466,5093744.18901053,145678798.682387,89289511.3444403
"129",1986-09-01,344.727214263994,3972382.84355633,153509423.02633,87853043.6818371
"130",1986-10-01,449.170415678905,3059406.89266965,90626389.286139,43749373.0302656
"131",1986-11-01,82.0616522175477,2658095.13791669,68402854.9163133,27569550.9362818
"132",1986-12-01,135.026535571166,2004917.06960503,62270046.0357333,21225063.4601438
"133",1987-01-01,95.2088624215554,1792184.93270269,25853577.5335464,4793785.47906903
"134",1987-02-01,244.544639473403,1963974.63421599,5217276.88065664,1349297.7181348
"135",1987-03-01,486.250133726327,2259770.29654686,1245326.17920736,2230176.88018443
"136",1987-04-01,395.416373026863,3047577.40741711,14495885.9399365,17427672.9950329
"137",1987-05-01,414.013315231739,3691249.20883093,242116395.728212,124885299.613648
"138",1987-06-01,288.977855536676,4567472.78741601,307842276.685575,151765483.383945
"139",1987-07-01,453.667830910853,5967070.36043304,230115778.15355,148652243.726002
"140",1987-08-01,202.815042091362,5380524.67094681,163342047.023574,104174798.441544
"141",1987-09-01,118.00089394101,4236408.40698866,200739268.333161,128590197.841895
"142",1987-10-01,273.069683146393,3136609.2870662,142017094.210073,84861884.1089694
"143",1987-11-01,256.107934729578,2532477.02114473,95099860.9838706,50905693.9171415
"144",1987-12-01,384.240221443454,2077466.02151798,94632883.4532777,43325461.0971579
"145",1988-01-01,131.624671364593,1793364.68259898,56213591.280594,19424263.6581595
"146",1988-02-01,163.802547181486,2135819.79501639,43828790.8825092,16417946.0367226
"147",1988-03-01,317.262237686576,2580685.4306765,20029481.0834156,10242673.7047845
"148",1988-04-01,531.922452420679,2977978.7953509,17488408.025762,13202198.4623763
"149",1988-05-01,438.360997252545,3738683.17632911,145707357.556833,85224995.3069218
"150",1988-06-01,292.658645355215,5179025.78084115,328221223.105797,156482111.52328
"151",1988-07-01,431.134859185798,5622822.49065818,147821959.577063,91830753.4034996
"152",1988-08-01,427.276402571394,5362402.58091897,100520921.566597,61498493.2196029
"153",1988-09-01,319.700065355278,4544050.15668852,92019257.8671392,51401188.5799732
"154",1988-10-01,195.386612255284,3187488.48436348,41637701.9558261,26916861.3193909
"155",1988-11-01,315.52987427745,2130451.5855755,34891428.7586405,26242210.3153205
"156",1988-12-01,33.2372224191974,1728662.79752492,22086954.2572307,23412957.1364217
"157",1989-01-01,184.004337006825,1833411.7025251,3989596.92539679,4247914.70148966
"158",1989-02-01,141.759068743479,1816504.39492737,1768353.65460464,1234430.04848915
"159",1989-03-01,420.351512142405,2572863.46383975,1851684.81268238,1395520.01454975
"160",1989-04-01,497.401658681234,2978673.78517036,7848872.84774569,7777209.08016723
"161",1989-05-01,495.528550016619,3668240.75372559,308114144.356726,146983872.637545
"162",1989-06-01,414.003475053536,4400993.10179091,234506052.082652,130515498.123259
"163",1989-07-01,450.405858159891,5728402.63609021,195299377.831906,121708967.367595
"164",1989-08-01,301.044421675184,5270466.12683748,127022618.261506,75710917.1202265
"165",1989-09-01,367.933334605999,3888894.02430284,132499049.925508,71598275.4987376
"166",1989-10-01,296.537556455077,2793715.87670993,98998052.9496107,57347879.5145039
"167",1989-11-01,315.620885729141,2300384.3342823,108327646.220738,69064154.6221197
"168",1989-12-01,310.723176477112,2324497.39385184,97918148.402812,50060933.9450974
"169",1990-01-01,216.12145924931,2138455.84435481,44505961.5933589,19365487.4154619
"170",1990-02-01,65.1932271039012,1730582.40002086,11626061.9982141,10100887.6373055
"171",1990-03-01,324.357512258423,2736996.48460806,4306286.58206044,6111644.25168931
"172",1990-04-01,469.691095017544,2823547.26415096,28110572.8569755,27535190.3028855
"173",1990-05-01,338.423868041142,3540173.21821466,360708669.217966,177784763.793562
"174",1990-06-01,281.321996830831,5449634.09055935,272703768.287467,144216177.455471
"175",1990-07-01,268.566722376921,5820493.97607143,224154631.01074,139724776.711933
"176",1990-08-01,669.179185281458,5399789.29438989,161732145.029705,99954647.4648647
"177",1990-09-01,226.365165302363,4677131.76417944,172909130.735498,102994645.614129
"178",1990-10-01,506.708978973325,3158902.91068548,119690038.157641,68167284.7471587
"179",1990-11-01,202.950973598616,2380659.01807723,107964720.170267,62048665.8634622
"180",1990-12-01,166.569675711022,2320499.52417525,119461088.993277,62346004.6775066
"181",1991-01-01,305.600608709668,2260104.03604318,70702541.0763385,31184301.8813314
"182",1991-02-01,96.8866856371661,1822157.16411696,54521565.7097954,19735534.2930336
"183",1991-03-01,475.082691952637,2844405.38653398,43994990.366748,18495623.5848695
"184",1991-04-01,344.245189289084,3252369.90976388,79329103.5335485,37613072.4070553
