"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"1",1976-01-01,205.630227288184,2040572.69484849,50082208.3225024,19883117.7690041
"2",1976-02-01,208.88201094124,2136649.31798055,43307786.491575,15724509.7777686
"3",1976-03-01,330.597040958235,2671820.28761859,47174811.5396545,11994534.7338006
"4",1976-04-01,503.815400103129,2722567.76315777,36047852.8697891,16392918.0547579
"5",1976-05-01,452.670424785588,3829211.00358221,176594298.536043,89875786.1374184
"6",1976-06-01,270.437286384702,4786233.9017247,344488008.283543,184578805.241322
"7",1976-07-01,363.799507024647,5693090.22593335,239340301.912554,169670836.390932
"8",1976-08-01,558.095823979843,5301306.97868734,176889340.095091,124265061.979795
"9",1976-09-01,461.089029358739,4060259.20606739,216687490.685318,151396551.809833
"10",1976-10-01,775.464061086303,2881934.66043481,158991666.309393,110533246.477926
"11",1976-11-01,235.389015223083,2428729.79425218,159968090.271959,109708699.602494
"12",1976-12-01,294.472598251973,2334423.41686771,150410900.340025,102526757.440965
"13",1977-01-01,169.88596677383,1802589.43139811,80019248.868227,43973689.7287131
"14",1977-02-01,132.256446161852,1949860.69822076,57849209.0175356,22629137.6074936
"15",1977-03-01,403.986740624117,2452836.54801518,49268083.3994552,14892205.0852999
"16",1977-04-01,282.081796626408,2734339.65175998,56049839.9500561,15261861.8194473
"17",1977-05-01,620.581939628784,3504121.06992123,206536907.456812,129108068.948445
"18",1977-06-01,378.063835731956,4708548.86388149,423517444.987611,244901373.706846
"19",1977-07-01,529.348135172265,5535073.71092594,407394880.933759,288788327.219197
"20",1977-08-01,389.830681328682,5388614.34881438,292291167.910132,228161106.311354
"21",1977-09-01,270.189833370269,4056952.22612349,255074509.388242,188660675.823674
"22",1977-10-01,255.739187630536,3026137.78792824,180164157.127641,128145317.154287
"23",1977-11-01,233.286420325618,2300095.24392942,167424601.07639,127472376.022269
"24",1977-12-01,236.728672360026,1982353.23369045,155994878.632924,107885902.529714
"25",1978-01-01,99.4301353948875,2346678.89557321,89273951.7705382,53888948.5331476
"26",1978-02-01,142.923459444955,1789687.4485348,69118035.0800805,33413983.1543975
"27",1978-03-01,297.253461505659,2427707.64750357,58999014.8014432,22378343.5680097
"28",1978-04-01,478.985076508614,2984572.94439812,117099404.107278,61376057.6438154
"29",1978-05-01,568.745625059731,3887940.76797574,338616056.560211,222204311.974888
"30",1978-06-01,387.352944291884,4777989.52242406,392266751.590727,242799443.827437
"31",1978-07-01,508.89491488657,5693904.28708078,265480412.370403,189361420.334347
"32",1978-08-01,637.824983625147,5339408.06322129,202645116.28325,143555251.53544
"33",1978-09-01,324.223870323335,4397060.35179827,216907552.463427,147840243.062201
"34",1978-10-01,742.299480234584,3070696.439338,138350101.812176,89080990.2282759
"35",1978-11-01,174.577537630303,2266903.60075373,115037680.944401,74143343.3432165
"36",1978-12-01,224.220393532046,2095229.06132742,110872489.390832,64968999.457961
"37",1979-01-01,215.466440178539,1887214.94487457,60982516.0654904,25079168.7054874
"38",1979-02-01,234.097464908056,2347256.82922974,49166982.2517408,14505476.098956
"39",1979-03-01,531.952609442714,2817756.75567014,50551469.1969514,26007185.6369049
"40",1979-04-01,607.636214767796,3495343.66877653,184703933.516401,88146899.046344
"41",1979-05-01,380.770881291196,3800957.99602737,269777002.857768,145439311.488902
"42",1979-06-01,376.185747368117,4739643.30904217,178282696.097016,115592114.713597
"43",1979-07-01,422.437063783216,5773524.2288255,181063252.985159,113877144.545762
"44",1979-08-01,639.638466099332,5174812.8414008,127582831.813476,79093998.4962799
"45",1979-09-01,195.737108385364,4036469.46075271,186197568.227321,126266657.949573
"46",1979-10-01,268.56315105739,3426723.20051788,294025499.256599,184960127.584255
"47",1979-11-01,289.469994223456,2353030.33853264,184476963.682551,131196407.253356
"48",1979-12-01,227.15688386496,1835856.34900252,158215259.306563,108664157.441128
"49",1980-01-01,68.8768011447358,2021808.9691697,87232199.6168844,48108501.5076153
"50",1980-02-01,166.751233225801,1649452.62072839,64949206.5754171,27821090.6776127
"51",1980-03-01,603.989716792098,2592396.71428228,65056263.4640671,20581776.4298178
"52",1980-04-01,538.295084437537,2951165.3966262,76713282.2215274,38664326.0667488
"53",1980-05-01,371.084476695812,3807228.6266313,252834047.542615,126687868.173547
"54",1980-06-01,234.20916948283,4667679.06302959,255344752.109034,152490818.67407
"55",1980-07-01,339.872392331651,5920099.0013031,139948992.013762,88527944.6049906
"56",1980-08-01,566.419222356359,5306620.13773987,109429939.333182,63755147.4959906
"57",1980-09-01,506.619273977075,4243148.31362432,111213549.948858,56552533.4907934
"58",1980-10-01,317.567406442329,3455284.50874976,85359690.2038191,38760302.1066103
"59",1980-11-01,284.353457970348,2271370.94844476,65056249.6362554,24429296.9120191
"60",1980-12-01,174.72455733925,2221319.90450905,59415881.3918961,17988933.2999362
"61",1981-01-01,178.354354337805,1968879.08575674,30005069.1026419,3612611.48422658
"62",1981-02-01,274.181956190076,2197193.42204803,21266268.4722183,1733514.47208202
"63",1981-03-01,396.37464995811,2271248.21714805,11645036.741493,964890.377671039
"64",1981-04-01,399.415922813445,3148835.70992933,79342104.1438343,51897059.4633094
"65",1981-05-01,493.198065399357,3863916.85820036,277608443.686484,137923778.688144
"66",1981-06-01,273.158420865158,4294232.11757472,177000252.044027,105377986.671846
"67",1981-07-01,275.847424145265,5776979.0624904,155991651.934383,94662218.4227441
"68",1981-08-01,323.837133644757,5630157.84212034,130716276.165397,79390384.9489219
"69",1981-09-01,155.659553558339,4533039.87559695,134248530.735232,77174980.1211969
"70",1981-10-01,327.981706119747,2977558.20909053,120278550.868897,72516030.4803774
"71",1981-11-01,217.539188207787,2569765.34548273,116733338.318431,74029106.6875756
"72",1981-12-01,223.205374976589,2094660.47471401,101565480.716024,54977983.1246685
"73",1982-01-01,195.783011878731,1962853.05750209,47466795.536894,13252693.219367
"74",1982-02-01,363.51730170342,2095275.15500126,37719840.6404036,6893554.64016376
"75",1982-03-01,519.71750180242,2540423.89214983,26691172.8131341,8796225.68285787
"76",1982-04-01,373.715950134723,2981335.5282787,54629845.5619387,25763988.131129
"77",1982-05-01,639.79247299318,3597261.74209527,199313886.716124,112331131.151935
"78",1982-06-01,282.052428418407,5048497.71319611,334805677.193347,160133614.254132
