"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"1",2006-01-01,181.29293499406,2035421.60750978,70420876.1441259,19918086.3096563
"2",2006-02-01,151.302025802224,2064234.15573647,59225521.3026001,13630460.6050207
"3",2006-03-01,276.278749241794,2291502.65249361,40449270.9247196,10349964.0174771
"4",2006-04-01,385.725132910649,2695072.92731344,33696742.508548,11949685.4235942
"5",2006-05-01,404.051818017326,4079102.17110154,208272365.7978,89932819.0788332
"6",2006-06-01,357.639430076889,4886054.89424538,214145486.355581,120398213.32598
"7",2006-07-01,593.095742051698,5628906.43295666,127789346.59674,83172234.7449469
"8",2006-08-01,487.822389334661,5561132.87529587,76325958.7933401,50198975.7818083
"9",2006-09-01,211.905255423105,4630120.08742341,63390284.2531572,52242224.1845455
"10",2006-10-01,510.706737647519,3709496.74014533,74148407.2217495,48553671.5771527
"11",2006-11-01,323.196330873661,2410705.74476954,63826174.0022901,43670655.9974793
"12",2006-12-01,226.740863805874,2153817.36101889,64233783.0066813,47689991.6421739
"13",2007-01-01,274.38962242225,2065373.36837219,15739337.3147753,15884556.808858
"14",2007-02-01,240.14679075147,1927143.74242409,6761949.17863575,6999012.84776218
"15",2007-03-01,318.325871607293,2557835.70803433,3655397.37845119,2656663.94687053
"16",2007-04-01,561.158380664076,2884922.3029117,20097285.5227784,19557253.6105798
"17",2007-05-01,363.238902571205,3960469.32010139,243376807.77084,114482623.762051
"18",2007-06-01,360.41777642774,4766132.79565227,270279754.183061,131267823.131593
"19",2007-07-01,266.623806597599,5839000.63261322,192238787.130769,111443325.839646
"20",2007-08-01,282.489552119635,5763732.56488853,174500406.153925,106870543.993207
"21",2007-09-01,366.826461534411,4644536.65103985,228423641.815481,145374654.171381
"22",2007-10-01,330.308759751427,2972880.75570768,138206233.19034,77059145.6035076
"23",2007-11-01,35.3487085073713,2378252.41060246,102066887.180547,49882533.058481
"24",2007-12-01,294.929565935839,2307627.40802576,96928952.2409627,45595864.343668
"25",2008-01-01,274.110513003163,2057109.06269505,47852844.2393699,13976003.2946924
"26",2008-02-01,65.4269496482578,2188570.72786009,13211847.736673,6746844.73330699
"27",2008-03-01,673.397082801122,2594027.6200414,17968933.6913004,7454701.70426507
"28",2008-04-01,527.752020628513,3006804.93276297,31806957.38938,15488238.2689252
"29",2008-05-01,381.981754096554,3900707.37284476,236625876.02874,132543634.089983
"30",2008-06-01,255.028413837165,4903861.51360083,370012425.144897,180499419.198118
"31",2008-07-01,322.789493060003,5866078.69775159,189525570.345075,115402198.50362
"32",2008-08-01,403.645727682171,5633652.16318405,182857697.939944,115358816.563368
"33",2008-09-01,357.661053100159,4778508.37637401,215989051.999032,132551992.709863
"34",2008-10-01,305.970056560498,3857067.69442892,160105095.405148,90945905.2238334
"35",2008-11-01,368.497155369618,2551811.70059461,160839327.915059,103644267.686592
"36",2008-12-01,88.4884293235032,2333917.17045184,145263474.345367,72437376.4349632
"37",2009-01-01,230.837771123276,2214417.41689798,75308029.2356864,26690714.6516696
"38",2009-02-01,182.832110323944,1812294.02523863,57686000.3843308,15076004.9409449
"39",2009-03-01,336.495516083206,2559526.84118754,36128236.1635844,8150839.00388286
"40",2009-04-01,457.044630546998,2711480.01389707,49078402.3584793,21778032.1977207
"41",2009-05-01,298.004665367788,4267729.30961328,284357677.493517,140065847.083072
