"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"1",1976-01-01,163.487846760355,2070590.57608826,88319330.3599008,55189523.0392344
"2",1976-02-01,175.254089885266,2035254.47496152,70773231.6579488,37736392.6515249
"3",1976-03-01,559.963968601279,2570707.40255625,72339135.6014969,38528534.1256561
"4",1976-04-01,512.766317982451,2463258.54236424,130469490.962452,91835962.1508659
"5",1976-05-01,416.517296892516,3407650.84258301,216047755.797096,148234957.156415
"6",1976-06-01,262.030023549261,4547012.28591985,422404675.729385,228781596.03273
"7",1976-07-01,433.739185818308,5319592.27479033,199503462.937622,143442094.78405
"8",1976-08-01,489.510445687999,5617509.18905133,181571384.371311,128482177.374393
"9",1976-09-01,162.298170726696,4276885.34866976,182837589.738436,120612635.526152
"10",1976-10-01,181.920267906323,3379938.59218787,140337557.424902,92732660.2927913
"11",1976-11-01,335.495943888725,2268315.00707655,137514157.550898,88102250.3689673
"12",1976-12-01,254.443056055824,2162098.96443824,128489678.78443,83404219.5990678
"13",1977-01-01,203.42983920426,2215172.40745075,64869692.5479848,31734995.9660489
"14",1977-02-01,149.774520248577,1811797.57551738,50127365.9034027,15266158.1906391
"15",1977-03-01,300.692893168327,2439378.78070529,44544246.7514018,9857190.72030285
"16",1977-04-01,430.72185646378,2966272.26685699,60031019.4175243,26242277.5605529
"17",1977-05-01,208.459034054768,3852241.10909893,156334105.200827,90111206.6460013
"18",1977-06-01,127.783450834093,4640935.86336792,586855719.49402,342735106.493627
"19",1977-07-01,514.150827702722,5653435.81698772,284480459.247619,206307573.316222
"20",1977-08-01,313.470156657939,5474762.86961018,200545480.022018,145082952.554481
"21",1977-09-01,287.323162148622,4328231.92134769,233426781.570757,163029268.646181
"22",1977-10-01,190.728071987635,3089452.47799393,184011956.827182,125651391.946907
"23",1977-11-01,199.287166454502,2364244.40232399,163973333.681699,111872317.958376
"24",1977-12-01,156.136693513311,2086658.49822951,146370737.993115,96416532.4653327
"25",1978-01-01,101.106715161813,1845202.66024584,83449099.3679629,46377108.6492167
"26",1978-02-01,83.0983754467856,1829038.19099998,63477248.4821137,27607450.7845935
"27",1978-03-01,883.269604064242,2813771.10471496,52980123.4138486,16919989.3507746
"28",1978-04-01,343.419226416457,2877996.21810436,69851395.6233169,43747294.9770685
"29",1978-05-01,443.812045306132,4288125.61509899,248240309.478803,147929368.415876
"30",1978-06-01,442.288069129516,4788633.57501112,388148474.47903,219201418.819164
