"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"1",2006-01-01,187.030147081608,1999129.55048137,76860575.8714347,36065098.2865124
"2",2006-02-01,155.130456790389,2148331.39446511,59462169.8668459,26657732.6043287
"3",2006-03-01,526.480537194063,2547968.21246482,24684272.9331449,17343832.0584286
"4",2006-04-01,387.174811024003,3043444.31271175,28630735.8234571,17378663.9265647
"5",2006-05-01,262.193559882455,3932365.83160851,99585091.5974674,60687909.9512932
"6",2006-06-01,161.620003999231,5488847.53898587,400682134.713336,197890837.046035
"7",2006-07-01,320.613504972904,5962169.87179143,200601224.045891,118674767.285485
"8",2006-08-01,474.205301367193,5542468.31910407,149107434.06795,86864216.6435213
"9",2006-09-01,170.609113768779,4232650.63902721,154517926.087252,88343437.0179099
"10",2006-10-01,491.084346428239,3362809.15442653,123163505.61265,69855502.1495489
"11",2006-11-01,102.371430767499,2390245.83641217,103149980.245696,64988568.4507113
"12",2006-12-01,142.028157098786,2165312.07757792,107458101.819449,56047307.3647611
"13",2007-01-01,135.436148663748,2391588.02021204,48604947.1838972,24747534.9925718
"14",2007-02-01,97.117388280544,2221798.32086858,15504019.7356897,15678857.4654889
"15",2007-03-01,707.916554376854,2782496.32212294,17894872.7149839,18515825.7251361
"16",2007-04-01,264.312164530075,3171525.90554295,34901281.060261,22249485.0865548
"17",2007-05-01,279.036576802332,4509310.60241416,274805730.341213,142640628.704589
"18",2007-06-01,241.515259167306,5041341.05847823,252343817.120661,116601732.03565
"19",2007-07-01,305.912307737848,6002485.29715115,188561245.805052,112306736.758241
"20",2007-08-01,500.764829753568,5753369.81352772,119527520.237206,68730172.32037
"21",2007-09-01,498.583962077327,4680643.70729473,138613968.198131,79315102.5059804
"22",2007-10-01,181.445467176954,3675621.20639114,99800885.1624532,54899520.0139208
"23",2007-11-01,52.2045889961041,2650665.61063267,72801644.0758937,43961592.293083
"24",2007-12-01,324.329063834773,2374173.44383148,46742335.5589645,40181988.9311598
"25",2008-01-01,148.231317158201,2253241.72423143,12146634.1475323,12239983.2558258
"26",2008-02-01,112.771406727446,2176429.37412644,7151233.01588131,7190011.54577436
"27",2008-03-01,613.747116344553,2741548.81291104,8248680.29885483,7445300.3601938
"28",2008-04-01,353.377013779334,3067442.10626863,143017039.180219,81054931.0768246
"29",2008-05-01,488.456001478368,4095248.66241891,273029042.402483,126438495.920945
"30",2008-06-01,319.967186359157,5084321.33929745,238096130.348623,123589121.569109
"31",2008-07-01,545.956538558885,5946619.79207783,141638011.230366,79755746.4980409
"32",2008-08-01,358.251650131079,5642990.87614122,118148430.924292,66485697.3024805
"33",2008-09-01,364.973052119468,4463959.94827404,118727522.966424,60249933.6362042
"34",2008-10-01,529.479657564641,3437216.76484725,89938859.1058737,52448633.1787711
"35",2008-11-01,190.866355178658,2312449.21279707,107264562.300876,62470404.9783261
"36",2008-12-01,79.4697640730564,2115600.9839322,120733417.402014,77318875.8399697
"37",2009-01-01,181.725694075381,2191692.95872567,38530095.8613488,31706121.8887593
"38",2009-02-01,301.902305798194,2445906.73376031,15899323.18846,15997132.1683751
"39",2009-03-01,779.974568982742,3067115.76799892,7688429.66982359,7731084.92623586
"40",2009-04-01,599.20380469872,3442638.26888416,100687564.994591,67019476.6331792
"41",2009-05-01,634.936590954896,4327393.83168924,243927989.767732,118593191.550054
"42",2009-06-01,329.893784507881,5433279.96902767,182267627.733933,99627610.4407776
"43",2009-07-01,339.285458027775,5996492.96692677,138935922.090973,80102919.031163
"44",2009-08-01,734.070342647923,5660452.09824738,87695718.5498645,47993744.3998863
"45",2009-09-01,209.52463394668,4093283.80339513,108364022.030515,61156984.0230346
"46",2009-10-01,453.004860188247,3089093.88525467,73510991.8499445,44029417.3870599
"47",2009-11-01,180.203088961439,2753981.30660142,86211086.8809308,58545691.1344494
"48",2009-12-01,279.662752401743,2432304.12998377,95185169.428707,59221838.6525162
"49",2010-01-01,83.1767337574318,2090163.74386535,29225317.2410388,19904175.6166264
"50",2010-02-01,304.829672141856,2045080.38180533,8952640.98415578,9060856.87131649
"51",2010-03-01,474.611929743426,2268574.17141503,11813362.8213632,10323613.8777645
"52",2010-04-01,421.367947726699,3165397.13358917,49616553.1260449,23987712.1630776
"53",2010-05-01,488.427574527535,4336681.60575592,354425546.664577,173340385.67236
"54",2010-06-01,670.019686785618,4740643.25038462,185712348.799299,106977121.240543
"55",2010-07-01,512.266081967026,5332362.36712892,195942173.027569,116591955.431306
"56",2010-08-01,616.564726741099,5257158.44785306,116558346.79777,70009802.2802644
"57",2010-09-01,203.992664430095,4478123.17364387,134363975.528627,75852980.6345992
"58",2010-10-01,384.272201827669,3244916.66891732,86981637.6776805,51443978.8785209
"59",2010-11-01,103.621057981068,2253887.36508008,62148371.3135693,44819156.2292371
"60",2010-12-01,308.378413442653,2421267.52229028,79710780.0320337,54658653.4251462
"61",2011-01-01,106.198190978461,2170267.60929913,29414264.3963596,24651461.5919391
"62",2011-02-01,142.127528150544,2254866.1688182,16861828.7469214,17119211.6905548
"63",2011-03-01,574.111086012922,3002998.26904451,11020762.6276169,10660015.92027
"64",2011-04-01,505.885651314708,3490971.08768011,226130001.894294,125928913.918077
"65",2011-05-01,617.612289008089,4197376.4268403,281387568.010386,139906046.607251
