"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"1",1976-01-01,175.031593445311,1198229.99678172,583420666.992187,585829272.656251
"2",1976-02-01,60.5608678504386,1020161.26845864,585018492.187501,573793073.4375
"3",1976-03-01,97.6972611710915,963452.76063632,974417979.199218,867241477.880859
"4",1976-04-01,19.5317613631543,582128.187492738,926637948.632812,854276160.9375
"5",1976-05-01,10.6541599377651,473652.826877741,1027557876.26953,880106167.089844
"6",1976-06-01,3.92767514684647,547942.108619044,1760953347.07031,1272335283.10547
"7",1976-07-01,11.5193718236944,689204.241345746,1708453835.15625,1141113672.07031
"8",1976-08-01,119.820256018215,1075413.32952112,1879421167.96875,1217518454.00391
"9",1976-09-01,53.557568043643,945245.146382015,2337483266.01562,1650332902.14844
"10",1976-10-01,143.757097150565,1088889.07040697,1749693708.98438,1385066492.57812
"11",1976-11-01,178.129350096529,1225615.37991854,1659302613.28125,1428520176.5625
"12",1976-12-01,165.041541236037,1008485.40206081,2030932353.51563,1831456954.6875
"13",1977-01-01,257.303055696233,1103955.26355734,1560007845.70313,1492799814.84375
"14",1977-02-01,310.990351979913,1016832.32010617,1434622550.97656,1505483191.40625
"15",1977-03-01,145.788611753633,1486908.54703638,1398920008.00781,1508028268.35938
"16",1977-04-01,17.1209514545397,662638.659082303,1741888045.89844,1888256475
"17",1977-05-01,64.801014394749,877709.077354899,1265740161.32812,1479419722.26562
"18",1977-06-01,19.6429618370107,510404.779959749,1515186237.30469,1457024920.3125
"19",1977-07-01,305.401759671708,1630624.16263125,2160459590.625,1833356663.08594
"20",1977-08-01,553.5597405177,2299203.52327478,1754673932.8125,1489875224.41406
"21",1977-09-01,72.1479450795244,1030532.54320642,2158180590.23438,1894555306.05469
"22",1977-10-01,111.818215918107,1048432.40992821,1602463558.00781,1536706582.03125
"23",1977-11-01,18.7190643185514,581809.655920661,1465592305.07812,1539415852.73437
"24",1977-12-01,139.622514060165,1090278.8688746,1772940081.44531,1911113441.01563
"25",1978-01-01,30.8756939426075,1079659.85446347,1299307871.77734,1509057506.25
"26",1978-02-01,453.567799189544,1224794.60379166,1063204014.55078,1470518782.03125
"27",1978-03-01,101.448876594783,1049003.29963677,1031439242.28516,1406810167.38281
"28",1978-04-01,33.8141559168107,648675.945010007,1506741259.57031,1706512044.72656
"29",1978-05-01,24.3468984698739,684435.143104379,1332330324.60938,1341870431.83594
"30",1978-06-01,21.5986628468836,545495.233291139,1463019321.09375,1334366578.125
"31",1978-07-01,281.088416541253,1142649.44313644,2042685458.78906,1676964700.19531
"32",1978-08-01,25.4767339866448,766912.363065053,1944118821.09375,1413892831.64063
"33",1978-09-01,55.4057949659755,1094851.10637327,2519452945.89844,1915723933.59375
"34",1978-10-01,52.390981569035,661149.159343992,1588532006.25,1579821727.14844
"35",1978-11-01,59.0257754449494,929911.752594929,1543324830.46875,1580871636.91406
"36",1978-12-01,240.518808634116,1154866.96591833,1926853228.125,1980072896.48437
"37",1979-01-01,140.178644795569,1060794.35528724,1433161160.15625,1574207208.98438
"38",1979-02-01,352.21266820488,1172052.10699543,1195815753.80859,1551861798.04688
"39",1979-03-01,98.8094044823793,1166459.54921255,1018180449.31641,1482939736.52344
"40",1979-04-01,83.1512623994057,882145.1159268,1211692252.14844,1619094930.46875
"41",1979-05-01,14.5820315320907,674755.643731079,997967139.257812,1092767748.92578
"42",1979-06-01,1.18484553043139,446570.70259818,1283034399.60938,1079185035.05859
"43",1979-07-01,2.37384070599444,426426.046210721,1570586936.13281,1413597869.82422
"44",1979-08-01,6.80805552566731,786959.160732014,964459118.847656,1056655552.14844
"45",1979-09-01,27.1693689759102,811022.470202307,877358007.421876,1024564699.51172
"46",1979-10-01,120.477603770676,964995.331322427,773532740.039062,687733901.367187
"47",1979-11-01,15.4214196304451,704098.736301236,803854744.628906,737982818.261719
"48",1979-12-01,235.961022668475,1025357.0074419,1199565465.82031,1047317291.01563
"49",1980-01-01,387.796141293041,1341109.61027646,921605251.464844,956977432.03125
"50",1980-02-01,128.872290577545,1143485.36465672,789547260.058594,922385504.003906
"51",1980-03-01,110.516433851844,1234530.55553734,998176275.878906,1176990966.21094
"52",1980-04-01,54.6428203143441,784260.682837383,928328446.582031,978068632.324219
"53",1980-05-01,28.2232429090522,671713.742480375,1131037203.51563,1023239023.24219
"54",1980-06-01,24.5899822894589,541282.082179309,1724729946.67969,1390613624.12109
"55",1980-07-01,1631.21328463261,1188153.13191841,1564523653.71094,1233449585.15625
"56",1980-08-01,184.829382506806,1645943.78416792,1468670568.75,1255323935.74219
"57",1980-09-01,142.529819973494,1117860.39436653,1576104757.91016,1564358850.87891
"58",1980-10-01,167.988289364908,1106235.16197957,877419118.652344,1092694917.48047
"59",1980-11-01,72.367363089579,1071789.21222925,587000648.144532,855978489.84375
"60",1980-12-01,64.8962448567763,1135204.44346323,646533248.730469,819475668.457032
"61",1981-01-01,574.840262929424,1168196.61833287,923112932.519531,708926375.390625
"62",1981-02-01,345.447096331806,1168537.55143624,1148346631.93359,978082308.984375
