"","month","Precip_m3","Evap_m3","Inflow_m3","Outflow_m3"
"1",2006-01-01,160.304955431222,964771.600275871,770892812.402344,1061879907.12891
"2",2006-02-01,32.3316790188228,989024.19778567,644456177.490234,884800343.847656
"3",2006-03-01,55.8228117781,805254.115555972,492318320.361328,675545164.013672
"4",2006-04-01,2.49385417877228,495887.355953044,456427280.34668,592542150.292968
"5",2006-05-01,24.814175099035,652337.601219303,408656607.495117,304516910.742187
"6",2006-06-01,0.417450387096362,419438.333360779,703489340.039062,343945088.52539
"7",2006-07-01,0.122270905670589,626398.88354837,829357793.701172,555732425.390626
"8",2006-08-01,153.855728679212,1047594.92164689,440583086.425782,390892245.55664
"9",2006-09-01,31.22601049372,695075.965392148,524568281.835938,399600563.598633
"10",2006-10-01,14.9586929125009,649417.950651302,436284812.988281,322329846.972656
"11",2006-11-01,197.216555242196,1072120.32000831,383430732.27539,329323834.423829
"12",2006-12-01,189.824827198505,1246654.82438691,709113732.714843,507599616.357421
"13",2007-01-01,89.899050673509,1149720.22832349,821100127.148437,597328981.347656
"14",2007-02-01,147.73650073525,855257.762071184,776302069.921875,724326423.925781
"15",2007-03-01,72.335069679621,1092050.88647108,726997100.976562,736213951.757812
"16",2007-04-01,18.2231630178352,656731.974395089,1144023035.44922,910253605.078125
"17",2007-05-01,19.37242863066,660765.015720883,1103756271.67969,876357968.554687
"18",2007-06-01,24.84012985293,560996.369270755,1354482010.54687,1008123434.47266
"19",2007-07-01,0.969863010193,458915.402852803,1915313301.5625,1523593212.01172
"20",2007-08-01,3.00539008880747,669729.25796801,1381119677.92969,1301790803.90625
"21",2007-09-01,21.47717965463,633925.574648185,1123960260.9375,1402872821.19141
"22",2007-10-01,5.57241790139792,498646.272547596,527872053.515624,793825913.671875
"23",2007-11-01,169.925724791407,879270.302371752,427843849.658203,577962110.742188
"24",2007-12-01,144.493412796782,1106344.47770133,497688790.429688,584199636.767579
"25",2008-01-01,30.83389563331,1152788.64210701,445269658.886718,438289800.292969
"26",2008-02-01,525.217137155298,1288899.34547564,507721035.937499,455590636.96289
"27",2008-03-01,163.416485950872,1238323.50822274,940426255.371094,922838236.523437
"28",2008-04-01,82.910496231353,936648.52491099,756492082.910156,812754798.925781
"29",2008-05-01,11.49000411216,579196.369098793,798322618.652344,777543803.613281
"30",2008-06-01,18.77544689146,654500.424622435,1482932575.19531,1022212996.875
"31",2008-07-01,431.496093805417,1780438.6542337,1423824338.67188,1026665312.69531
"32",2008-08-01,417.714718452877,1934254.45218571,1611337735.54688,1207525595.80078
"33",2008-09-01,79.56129491674,1006808.62870249,2505516632.22656,1653319397.46094
"34",2008-10-01,62.26109306907,912526.28240551,2025406872.07031,1432591428.51562
"35",2008-11-01,92.858112773755,968286.264513702,1988914072.85156,1512977115.23438
"36",2008-12-01,274.604157980073,1371554.56214725,2577496654.6875,1997539966.40625
"37",2009-01-01,13.7506571477181,880727.697042633,2029642613.08594,1694579167.96875
"38",2009-02-01,472.26098367483,1091227.30547415,2030592042.77344,1748492525.39063
"39",2009-03-01,94.69401401866,1053997.70032319,2002494571.875,1845782047.26563
"40",2009-04-01,86.9024478425054,980480.491712382,2231901664.45312,2341081575
"41",2009-05-01,28.380730117817,669271.492576596,1625960392.38281,1860650699.41406
"42",2009-06-01,4.73894493829506,459843.984683544,1862591308.59375,1829936390.625
"43",2009-07-01,0.0002171516596417,667009.659722402,2432013683.20312,2288883466.40625
"44",2009-08-01,69.71228019959,972628.675241659,1796462608.00781,1819549031.83594
"45",2009-09-01,1.10462176040101,480882.423348154,2069291047.85156,2239356643.94531
"46",2009-10-01,316.700468105146,1190326.35099316,1409470637.69531,1741943970.70313
"47",2009-11-01,68.63947943867,1029328.77067352,1439588009.17969,1688562101.95312
"48",2009-12-01,215.232915660679,1260729.94152604,2196060841.40625,2111606560.54687
"49",2010-01-01,390.926619713238,1241690.26595105,1810336795.3125,1723506208.59375
