"","month","Precip_m3","Evap_m3","Inflow_m3"
"1",1976-01-01,377.750667776604,1136927.60830321,38209492.8863526
"2",1976-02-01,210.868489529173,1171427.86355532,62968776.0864258
"3",1976-03-01,386.114618731028,1335455.63442332,104599178.778076
"4",1976-04-01,72.2827330905417,1378115.87574612,89808755.6030274
"5",1976-05-01,18.6155749351527,1511446.16987726,69592111.7431641
"6",1976-06-01,13.7325309844169,1650694.28551626,18497414.2420206
"7",1976-07-01,142.698332006677,2019996.05928405,31072147.2147397
"8",1976-08-01,582.746104910515,2344686.43416035,87926592.9199219
"9",1976-09-01,13.3996233536079,1780849.30999503,65470207.0632935
"10",1976-10-01,151.11382954911,1580773.26433642,35324506.9198608
"11",1976-11-01,260.441508327891,1222522.73232397,51228935.9390259
"12",1976-12-01,104.322941952059,1196379.20429877,52781085.1730347
"13",1977-01-01,10.5983093344977,1185294.13377535,99561470.0935364
"14",1977-02-01,83.0434639205395,1009161.8956605,207679507.69043
"15",1977-03-01,214.53448397744,1271885.72254488,121794929.187012
"16",1977-04-01,7.90850278605588,1362106.15343916,132204787.097168
"17",1977-05-01,3.59304408282719,1520291.93139214,34010515.9758333
"18",1977-06-01,11.184359393251,1498010.54538283,9944850.12131786
"19",1977-07-01,453.858273853498,2436989.84345556,45834268.0048116
"20",1977-08-01,98.5867533099434,2037307.81102339,124032185.540772
"21",1977-09-01,76.5829762160847,1872542.75148392,198061146.11206
"22",1977-10-01,105.167954832661,1589885.20580073,119636279.022217
"23",1977-11-01,234.226409503498,1146646.47959912,97616323.8006592
"24",1977-12-01,240.68957150657,1116424.64486812,84665777.6733398
"25",1978-01-01,184.272900161114,1133428.61776667,139752562.197876
"26",1978-02-01,113.748096159389,1071281.82417169,169272365.95459
"27",1978-03-01,280.191314956756,1343068.0700875,98727962.5305176
"28",1978-04-01,49.5667912015384,1312456.65860413,138279718.789673
"29",1978-05-01,16.8682274327656,1555080.16361775,43334533.8846445
"30",1978-06-01,23.0693225631278,1710961.34301125,14249903.4053772
"31",1978-07-01,700.905684212879,2524373.16901263,40502285.2192283
"32",1978-08-01,335.816314865254,2556221.647305,167744292.1875
"33",1978-09-01,163.960446307636,2040381.27486109,192604826.623535
"34",1978-10-01,105.01276957162,1577198.60957831,90559986.7675781
"35",1978-11-01,74.6017986379109,1265568.37785832,64613874.3530273
"36",1978-12-01,87.376831389335,1171307.73243057,278115660.049438
"37",1979-01-01,110.555926788689,1163663.17779559,183638478.131104
"38",1979-02-01,18.1138383202756,1019346.69583584,369655939.544678
"39",1979-03-01,165.657771257125,1090909.82895074,255126077.380371
"40",1979-04-01,30.1169951672298,1311282.2166515,195246200.253296
"41",1979-05-01,1.7810790615456,1397888.6360293,58921692.0295715
"42",1979-06-01,0.717961574151253,1515797.12474375,28353294.3277359
"43",1979-07-01,202.211671627347,2003354.02615517,21392462.4097824
"44",1979-08-01,132.736154993164,2017315.90684462,106754897.158814
"45",1979-09-01,127.003621871743,2009505.34952782,101921781.637573
"46",1979-10-01,148.873382855463,1740327.06305374,66521383.731079
"47",1979-11-01,231.53663994787,1270305.65862555,77109791.5008544
"48",1979-12-01,125.601335773129,1207425.89088871,170568672.473145
"49",1980-01-01,101.03809328737,1111043.8060043,314905606.512451
"50",1980-02-01,444.117028446858,1270442.61919134,217595919.177246
"51",1980-03-01,307.229018066128,1457288.09058941,254433657.23877
"52",1980-04-01,11.7362049731803,1291445.84284754,100727766.870117
"53",1980-05-01,8.98748088403491,1555205.54232174,41596224.3342877
"54",1980-06-01,8.31014869262917,1669021.98570899,21656957.0428223
"55",1980-07-01,106.182446423947,1905447.53693499,21948547.2747803
"56",1980-08-01,239.371531130881,2262175.81480463,24880935.5117798
"57",1980-09-01,353.76497175171,2073860.9737136,6709106.05773926
"58",1980-10-01,138.457716642761,1567053.28512941,21281625.377655
"59",1980-11-01,245.08180553817,1388911.73673836,7610675.75747967
"60",1980-12-01,369.161915895692,1202339.77556714,144194546.406555
"61",1981-01-01,450.554281261026,1196471.5067728,136105257.293701
"62",1981-02-01,317.191685000701,1201980.06994437,82148987.2741699
"63",1981-03-01,280.114859675924,1438769.17146113,22986612.9255295
"64",1981-04-01,49.5080376862669,1365526.21666224,45553697.0981598
"65",1981-05-01,2.48140200763153,1498858.32851596,7489702.26438046
"66",1981-06-01,10.0103210092613,1704806.59162467,138229.77334354
"67",1981-07-01,53.3138915383445,1911967.82452735,865891.664821233
"68",1981-08-01,515.337002775143,2352325.96748282,16996802.5737763
"69",1981-09-01,301.634160617361,2024916.82015336,82915761.4219666
"70",1981-10-01,267.123288886549,1630568.45184965,66692632.6812744
"71",1981-11-01,241.763048823581,1369929.36138978,76593392.6055908
"72",1981-12-01,104.444832568624,1182542.14667446,65939803.2531739
"73",1982-01-01,82.0016861399454,1104427.19497031,27799865.5448914
"74",1982-02-01,55.535111276188,1079381.28504527,81331714.5446777
"75",1982-03-01,274.782560110692,1305050.88023279,102962825.683594
"76",1982-04-01,66.3944307683685,1320382.87197074,54748117.3954009
"77",1982-05-01,53.724729904513,1555540.33770962,2904009.36053674
"78",1982-06-01,5.28016255654306,1647637.81491261,8283.59412242423
"79",1982-07-01,2.7178291398546,1727844.02464372,514143.394982987
"80",1982-08-01,60.5300473139989,1953095.23699199,1293326.89043954
"81",1982-09-01,340.668861693031,1907177.6313995,921521.16162926
"82",1982-10-01,2.76749172053594,1449723.42168677,386761.453543603
"83",1982-11-01,66.5751646990931,1151407.13371912,4212956.54278993
"84",1982-12-01,181.043208204543,1131927.95588848,1186421.28102332
"85",1983-01-01,588.35056269854,1249325.97508562,18014777.2953987
"86",1983-02-01,77.8565547685158,1042860.20642122,81209104.486084
"87",1983-03-01,337.209355529584,1211172.90329099,83439866.2719726
"88",1983-04-01,127.188608568564,1385182.28311045,89890147.0733643
"89",1983-05-01,18.124612095388,1503049.9584521,22562520.8768226
"90",1983-06-01,45.399696788723,1726807.9104271,188317.9991827
"91",1983-07-01,318.229178731413,2122286.20501964,422953.030896915
"92",1983-08-01,77.4817032848821,1946237.33087658,257811.773423402
"93",1983-09-01,198.596554418933,1774160.70882971,1233743.11378598
"94",1983-10-01,240.549566513662,1679263.1098796,373247.541466076
"95",1983-11-01,145.690153848678,1264868.69914346,6109536.59741461
"96",1983-12-01,39.9580331595888,1223941.91803204,12653385.1484299
"97",1984-01-01,113.246674828268,1118670.82966902,84904784.9807738
"98",1984-02-01,233.91661985617,1088716.43833319,217870237.957764
"99",1984-03-01,7.39105383688186,1212431.58986376,455624467.547607
"100",1984-04-01,108.346213699057,1397021.5812515,206585770.550537
"101",1984-05-01,11.0453781061464,1596791.20608389,89760782.0297241
"102",1984-06-01,8.31438335629313,1597288.44686103,49428669.6269989
"103",1984-07-01,115.47090028683,1933421.40397045,14693236.7757797
"104",1984-08-01,170.696760004513,2072343.91747328,145059842.601013
"105",1984-09-01,365.909146380276,1804962.40976714,222624828.039551
"106",1984-10-01,177.721103547155,1634367.74203608,62046564.2475128
"107",1984-11-01,64.6718804368132,1271546.47801619,24331430.5063248
"108",1984-12-01,250.366448207531,1142756.91945847,562685424.389648
"109",1985-01-01,362.32253427601,1186393.60385607,601806004.211426
"110",1985-02-01,671.737231039774,1254613.75558729,344701913.323975
"111",1985-03-01,309.281317381233,1433865.71553319,227475318.548584
"112",1985-04-01,12.9765556232562,1343860.14804549,164619424.511719
"113",1985-05-01,25.8360774301881,1611286.3109608,82351264.8010254
"114",1985-06-01,22.2913748387638,1704442.47422405,50822399.85466
"115",1985-07-01,178.229581833261,2170037.8651724,70793653.8070678
"116",1985-08-01,66.5818894766325,1907962.3734248,108658615.34729
"117",1985-09-01,20.4089181662335,1686577.89168231,168712236.584473
"118",1985-10-01,141.229824929643,1516900.29349592,127749285.131836
"119",1985-11-01,44.8717288171554,1007583.33533998,120251609.912109
"120",1985-12-01,106.331802688396,1129212.89870282,116444927.389526
"121",1986-01-01,406.314171781527,1218116.82850463,220937258.990478
"122",1986-02-01,509.084908351686,1184324.24486428,454939426.757813
"123",1986-03-01,139.903574775604,1238410.73259678,218269493.536377
"124",1986-04-01,139.537851660504,1381935.78476652,122582958.192444
"125",1986-05-01,31.2651841476048,1711273.04422302,56493679.5181274
"126",1986-06-01,28.5633865596855,1803740.85243828,31127131.3490868
"127",1986-07-01,487.92818734366,1977568.18434726,19126826.3607502
"128",1986-08-01,3.03688652378494,1849307.63735489,67099847.5662232
"129",1986-09-01,131.203873107642,1747872.94303867,178446068.811035
"130",1986-10-01,127.044408259349,1655908.27470518,90440704.7424316
"131",1986-11-01,331.48143621278,1321923.55595424,47339655.8944702
"132",1986-12-01,105.813985172691,1091466.74400238,83061493.0938721
"133",1987-01-01,407.352363922562,1092248.50823987,302428872.564697
"134",1987-02-01,363.049939044217,1105955.57633314,143424462.249756
"135",1987-03-01,319.914835780399,1305058.17411175,113659471.252441
"136",1987-04-01,78.221678288655,1213860.60844359,77225616.2212372
"137",1987-05-01,39.7459650820758,1719388.330883,21597854.8851013
"138",1987-06-01,20.3462129755935,1725605.89679375,8315785.45813411
"139",1987-07-01,377.033160714323,1995111.63810457,1265816.59900602
"140",1987-08-01,272.173098142094,2271903.69574524,2053721.62727415
"141",1987-09-01,102.570609039294,1843553.234009,41753783.4935188
"142",1987-10-01,34.8706376767329,1459773.6529202,115658441.564941
"143",1987-11-01,286.995678487288,1240711.22188469,76423302.4108887
"144",1987-12-01,2.00492954742876,1151416.12559071,129671395.751953
"145",1988-01-01,228.97544008798,1225868.68810816,81560766.3024902
"146",1988-02-01,41.9616170574493,1093925.39948709,65934166.3604736
"147",1988-03-01,7.90804462606081,1241683.1538304,44166665.9797669
"148",1988-04-01,89.5527799082822,1340575.38503181,49406123.8586425
"149",1988-05-01,15.7058203992609,1499318.7296098,11496354.8514605
"150",1988-06-01,30.4875561084437,1589379.69312773,12942.172477569
"151",1988-07-01,302.463301800547,2134593.01047984,15230.3182008356
"152",1988-08-01,586.342872496226,2347863.39093791,6646892.41168499
"153",1988-09-01,123.961776246102,2086755.90729586,26469001.2814522
"154",1988-10-01,165.040791293104,1498000.55487186,1893348.03551138
"155",1988-11-01,9.32753230189385,1266922.1004367,1946963.58328164
"156",1988-12-01,50.3046200017227,1075878.01415309,7748290.09795636
"157",1989-01-01,157.790291539124,1130417.48817788,82402260.4248047
"158",1989-02-01,126.50719434909,1047625.85040827,69607766.1895752
"159",1989-03-01,74.2073699976518,1188928.99511172,251329662.158203
"160",1989-04-01,32.2983168950179,1418149.72143192,269898231.555176
"161",1989-05-01,21.4781471039584,1460153.89966538,84766963.5887145
"162",1989-06-01,22.7653915887302,1608786.52057733,29746042.4124241
"163",1989-07-01,132.711890555069,2101920.10379987,11289890.6805111
"164",1989-08-01,523.545805845388,2319393.04828804,81298297.945404
"165",1989-09-01,182.364182840966,2166399.16289558,111826067.431641
"166",1989-10-01,222.134129201218,1644212.52492573,90631088.4429933
"167",1989-11-01,243.55858091708,1371574.7454713,57056426.3259888
"168",1989-12-01,183.716880989947,1218216.99476137,92636472.7180482
"169",1990-01-01,27.6658508765493,1088501.01475936,381259781.652832
"170",1990-02-01,6.6829188070787,1018542.88337335,396811761.547852
"171",1990-03-01,219.938465352411,1118362.58714273,260494382.208252
"172",1990-04-01,42.9178254696288,1264314.45782229,155497935.443115
"173",1990-05-01,12.2830765976033,1520210.47947388,54449513.5597229
"174",1990-06-01,2.15081454616934,1545026.29091494,32146891.7163849
"175",1990-07-01,78.3571433318843,1842260.44716295,28679312.4964714
"176",1990-08-01,55.1097626182876,1885774.63219078,45603831.5139771
"177",1990-09-01,5.84408680319732,1668228.20001099,48657041.4962768
"178",1990-10-01,40.2296430419313,1433119.42535844,36457644.342041
"179",1990-11-01,224.394768384812,1120328.05480387,112796912.466431
"180",1990-12-01,29.29199776985,1151004.15380297,119396203.80249
"181",1991-01-01,224.324384126877,1147507.61270118,87468469.7937012
"182",1991-02-01,49.096881377999,1159227.90578467,208306871.411133
"183",1991-03-01,65.0595574007153,1113929.8348733,150190456.915283
"184",1991-04-01,3.89551586419151,1217971.82280761,244093335.040283
"185",1991-05-01,86.6464897711597,1449080.35467572,71232449.3934631
"186",1991-06-01,16.7423321340204,1639280.83504619,18668284.9664502
"187",1991-07-01,292.902449978203,2088208.8507448,11415646.9726883
"188",1991-08-01,55.4544167927849,2013758.98792969,52441604.1320801
"189",1991-09-01,167.254001513415,1770093.94341424,65272285.2516175
"190",1991-10-01,279.877997866903,1715541.31375822,75252098.2269287
"191",1991-11-01,93.8752035624972,1432445.49205853,49190103.0532836
"192",1991-12-01,240.893081119645,1243678.45797823,129875311.628723
"193",1992-01-01,158.517425948329,1220194.18177414,293159405.401611
"194",1992-02-01,224.38869224518,1176557.27680283,193490779.119873
"195",1992-03-01,711.613856260246,1393518.91574269,314169747.747802
"196",1992-04-01,126.882745937581,1402553.67789584,209020056.866455
"197",1992-05-01,43.970722640748,1674599.62376445,74811065.5365943
"198",1992-06-01,7.09653116656249,1742156.44062782,44076883.7542177
"199",1992-07-01,19.480395597945,1818059.27599071,21799144.2127705
"200",1992-08-01,7.08896336418583,1813440.62183159,81943153.8848877
"201",1992-09-01,71.7350917111237,1726457.07780146,284162013.336182
"202",1992-10-01,52.7837788669812,1499718.15023844,152463855.596924
"203",1992-11-01,104.667380998518,1061572.04518539,109036080.093384
"204",1992-12-01,540.004106455636,1139941.01090078,142813626.800537
"205",1993-01-01,708.858215639495,1218059.37920978,69885563.5437012
"206",1993-02-01,501.145234106359,1132660.17927611,159496711.248779
"207",1993-03-01,664.549431478167,1387577.97528184,92448838.3941651
"208",1993-04-01,158.573538225848,1491440.73004599,106277138.923645
"209",1993-05-01,121.426266341707,1641933.42065845,18716839.7623301
"210",1993-06-01,8.04895967986435,1786241.22997649,4402110.49103206
"211",1993-07-01,175.454513407819,1944303.93340323,6247383.249634
"212",1993-08-01,218.212463486863,2041829.20709207,35141596.875
"213",1993-09-01,43.9405763715795,1736481.36637397,22734214.6093369
"214",1993-10-01,38.9419112434922,1560034.26996482,15635351.7651558
"215",1993-11-01,349.690174991241,1309773.29190268,51621638.117981
"216",1993-12-01,120.229912247261,1177007.02044932,25464390.3697014
"217",1994-01-01,97.5088027932275,1064443.50972589,87940523.3642578
"218",1994-02-01,122.968326479264,1131455.38144323,139011159.979248
"219",1994-03-01,245.794115802574,1347612.34751671,89508223.223877
"220",1994-04-01,10.4155964340948,1333594.83751927,72197982.6965332
"221",1994-05-01,66.3757879265864,1621569.80313781,28051656.7166805
"222",1994-06-01,2.43865105966016,1608074.48800325,1200955.73900999
"223",1994-07-01,2.47743324752077,1817633.91483184,952250.283467537
"224",1994-08-01,453.513528994035,2340869.01965943,737294.125081133
"225",1994-09-01,68.4918524694645,1834023.36365159,1231991.99531127
"226",1994-10-01,27.8472115222601,1505502.35985169,1975777.78201103
"227",1994-11-01,117.771600901237,1124503.20517597,955713.506242633
"228",1994-12-01,125.024449501864,1067542.70992866,378481.347298622
"229",1995-01-01,147.12914142968,1132761.53044206,378426.025772094
"230",1995-02-01,28.5802413257787,885718.544938144,318564.142218231
"231",1995-03-01,285.44148848932,1229745.42164691,36434056.6886902
"232",1995-04-01,29.3893335472577,1428360.69621208,28522025.9186625
"233",1995-05-01,15.2971935524965,1438556.16675174,377021.067589441
"234",1995-06-01,47.1659024530719,1733336.4729048,4301.73478644574
"235",1995-07-01,307.094903470636,2132440.79142056,188.250942764671
"236",1995-08-01,302.568966012635,2171916.1256204,40834.4971493469
"237",1995-09-01,59.1095391297642,1908549.03078132,58122.6055495616
"238",1995-10-01,10.4858104167347,1311641.55206528,19214.012016356
"239",1995-11-01,19.0104656297029,1011037.21119166,13863930.1424593
"240",1995-12-01,273.568822741136,1099750.17223473,78235297.8057862
"241",1996-01-01,149.266599664258,1162796.66578205,51860258.6929321
"242",1996-02-01,102.792768030789,1148560.94285572,50257117.5842285
"243",1996-03-01,109.10986547533,1336946.03040426,19714537.4445498
"244",1996-04-01,10.1793924524336,1260230.09442086,1613447.44338456
"245",1996-05-01,29.3472205391976,1509897.42171882,20333.0089555588
"246",1996-06-01,0.358380296356303,1511171.09500933,134.896940143887
"247",1996-07-01,200.939732235083,1906345.94444149,52.1903330653934
"248",1996-08-01,94.0943647353434,1984724.56409169,181817.387468133
"249",1996-09-01,275.613873518735,1929300.22514883,1637793.98116098
"250",1996-10-01,221.532214373336,1688080.27369987,558889.574468136
"251",1996-11-01,314.874455929197,1462575.227428,126941.113856627
"252",1996-12-01,95.0568523409684,1262834.10768114,36745491.2703037
"253",1997-01-01,48.3107577958828,1249563.84187961,29627200.1747131
"254",1997-02-01,349.593527474664,1281386.13478544,12992340.4697053
"255",1997-03-01,98.3690812124119,1376874.61461316,819435.002555698
"256",1997-04-01,101.821967622128,1463760.32127516,8021405.38095832
"257",1997-05-01,19.9574006951488,1479676.28159127,107110.580978606
"258",1997-06-01,5.47879884425095,1587845.80384578,1056.59040659666
"259",1997-07-01,210.531653650111,1998908.37914028,826257.809167838
"260",1997-08-01,298.745710502968,2341745.9195004,618248.508989811
"261",1997-09-01,47.8373906180353,1816518.93090574,94462807.3516845
"262",1997-10-01,425.81904391812,1631908.94314708,33220353.4469605
"263",1997-11-01,117.438609969207,1245764.7138436,5627816.14866257
"264",1997-12-01,582.668939946835,1304941.68522576,7624381.24322891
"265",1998-01-01,539.692099769346,1325917.16132369,12903025.8417606
"266",1998-02-01,258.164740889263,1207644.66790784,29577990.1245117
"267",1998-03-01,310.679019130957,1319301.47918645,8630815.48751592
"268",1998-04-01,13.2711146792465,1358168.14589016,229556.827088795
"269",1998-05-01,28.6295641856659,1619145.01303341,92216.9464249048
"270",1998-06-01,23.2993718002907,1773911.35168205,6214.559400687
"271",1998-07-01,518.398433099552,2130015.96027794,10687.3584193876
"272",1998-08-01,600.649191116504,2364918.50107583,94287.4177435006
"273",1998-09-01,93.642266903248,1969192.20082501,41783658.7562617
"274",1998-10-01,43.3388603050035,1649729.41467752,68427072.2076416
"275",1998-11-01,18.0626682158655,1284854.45770681,53500823.1628418
"276",1998-12-01,11.6233219369646,1013230.37807473,35652583.6063385
"277",1999-01-01,160.032056483931,1178446.15601328,41840700.0869751
"278",1999-02-01,70.1748751085343,997786.656916961,48444308.3496094
"279",1999-03-01,293.546157284046,1216999.94504803,104023608.370972
"280",1999-04-01,26.099925969375,1262401.72052857,123888177.438354
"281",1999-05-01,31.2953971882515,1476596.28700267,29274099.5851815
"282",1999-06-01,31.619556240962,1687734.85474529,262789.957546623
"283",1999-07-01,350.501543074166,2302447.40615602,3114.76180825757
"284",1999-08-01,227.918232348129,2267043.45695548,276098.092361167
"285",1999-09-01,229.73594078322,1977432.81526278,334777.334282471
"286",1999-10-01,63.8072370138172,1598041.32153223,501712.601600121
"287",1999-11-01,105.865881260238,1264777.42436063,449829.949630704
"288",1999-12-01,146.004127874338,1181978.70607254,3904496.64403038
"289",2000-01-01,65.5240960237792,1171469.0321784,11937969.9791908
"290",2000-02-01,264.252701582332,1172380.59403636,85855157.1304321
"291",2000-03-01,95.0096618839459,1272533.86219832,196034179.943848
"292",2000-04-01,42.9429445977959,1290422.72857252,93220469.192505
"293",2000-05-01,6.20319217295238,1572343.6584146,34671730.7149887
"294",2000-06-01,5.37803384907296,1609367.39168778,3906489.8996042
"295",2000-07-01,160.725874212926,2037908.68518814,904994.55962386
"296",2000-08-01,214.192079568675,2099523.08923266,6146022.30091095
"297",2000-09-01,408.13736102463,2125606.75560887,3842085.78462247
"298",2000-10-01,139.221061560169,1601592.08080482,15039147.5146294
"299",2000-11-01,127.871235339937,1236214.00148614,66800493.8415527
"300",2000-12-01,240.728090958873,1130223.76900847,260191858.776856
"301",2001-01-01,152.449235347624,1287330.09957735,160892268.145752
"302",2001-02-01,83.615758217745,961354.237214931,126241455.267334
"303",2001-03-01,136.440704747196,1333804.26792252,90812127.1179198
"304",2001-04-01,59.3170036125268,1369319.36318007,107256783.636475
"305",2001-05-01,19.3334628042928,1600983.47517867,31117816.8388367
"306",2001-06-01,27.316844590183,1695470.63269696,5337228.53569295
"307",2001-07-01,137.550882660516,2016008.64212969,7963359.04338062
"308",2001-08-01,198.826846601162,2135046.13370632,21173802.663517
"309",2001-09-01,137.310076164437,1752679.7696591,108318943.103027
"310",2001-10-01,147.315171635479,1596613.58860685,80607344.128418
"311",2001-11-01,46.6793181349693,1201440.80821647,57230252.3391723
"312",2001-12-01,194.809009415459,1151399.05098363,82543966.3009644
"313",2002-01-01,416.42487826913,1207155.41383147,61439146.1608886
"314",2002-02-01,199.904099204611,1145248.24037734,105320339.978027
"315",2002-03-01,150.525949450717,1301185.04526448,165286707.330322
"316",2002-04-01,199.27468822439,1435102.90427917,104175810.241699
"317",2002-05-01,84.7799436708883,1792217.20817689,21880261.8552348
"318",2002-06-01,3.67412548126193,1729890.16369359,311641.726929008
"319",2002-07-01,299.97642103893,2276487.08539777,14066971.2052539
"320",2002-08-01,619.06260304752,2360290.88290007,68603741.18042
"321",2002-09-01,150.879816872,1901683.817283,104682837.579346
"322",2002-10-01,229.643918624768,1809283.02561487,96200816.0064697
"323",2002-11-01,156.420594912419,1277931.10543153,57493712.3291016
"324",2002-12-01,408.097041570906,1170475.63099136,54093734.4554901
"325",2003-01-01,593.394106960071,1244617.89940613,167865634.47876
"326",2003-02-01,241.115360310844,1164621.51859925,158277085.620117
"327",2003-03-01,320.804393693853,1350916.95857814,128677925.280762
"328",2003-04-01,83.3497269932634,1320030.76946805,100440805.023193
"329",2003-05-01,110.697878723023,1765000.02354705,25115169.1284299
"330",2003-06-01,19.892062088379,1807035.70017391,2954450.16669261
"331",2003-07-01,194.348431311648,2225682.46940015,1285.14824296581
"332",2003-08-01,234.431234578767,2151194.65492308,2986806.04996411
"333",2003-09-01,78.8095766583154,1820912.56960475,3016814.36552424
"334",2003-10-01,29.361321058718,1631155.17867114,919539.79921192
"335",2003-11-01,172.006432269941,1266641.53674083,404161.308222915
