Month,MG,servicepop,pop,gpc
7-Jan,3678.18,1306000,564395,2816.370597
7-Feb,3402.9,1306000,564395,2605.589587
7-Mar,3547.99,1306000,564395,2716.684533
7-Apr,3790.03,1306000,564395,2902.013783
7-May,5848.38,1306000,564395,4478.085758
7-Jun,9223.59,1306000,564395,7062.473201
7-Jul,11481.66,1306000,564395,8791.470138
7-Aug,9132.51,1306000,564395,6992.733538
7-Sep,7719.45,1306000,564395,5910.75804
7-Oct,5428.87,1306000,564395,4156.8683
7-Nov,3630.6,1306000,564395,2779.938744
7-Dec,3590.26,1306000,564395,2749.050536
8-Jan,3649.36,1306000,575721,2794.303216
8-Feb,3352.36,1306000,575721,2566.891271
8-Mar,3690.72,1306000,575721,2825.972435
8-Apr,4552.94,1306000,575721,3486.171516
8-May,6663.18,1306000,575721,5101.975498
8-Jun,9728.11,1306000,575721,7448.782542
8-Jul,12051.46,1306000,575721,9227.764165
8-Aug,9522.43,1306000,575721,7291.294028
8-Sep,7357.95,1306000,575721,5633.958652
8-Oct,4958.16,1306000,575721,3796.447167
8-Nov,3238.41,1306000,575721,2479.640123
8-Dec,3218.45,1306000,575721,2464.356815
9-Jan,3210.9,1306000,589011,2458.575804
9-Feb,3139.9,1306000,589011,2404.211332
9-Mar,3923.7,1306000,589011,3004.364472
9-Apr,3725.3,1306000,589011,2852.45023
9-May,6203.5,1306000,589011,4750
9-Jun,6443.3,1306000,589011,4933.614089
9-Jul,8339.2,1306000,589011,6385.298622
9-Aug,8648.3,1306000,589011,6621.975498
9-Sep,7245.2,1306000,589011,5547.62634
9-Oct,4257.8,1306000,589011,3260.183767
9-Nov,3402.3,1306000,589011,2605.130168
9-Dec,3550.4,1306000,589011,2718.529862
10-Jan,3452.06,1306000,603012,2643.23124
10-Feb,3087.33,1306000,603012,2363.958652
10-Mar,3435.78,1306000,603012,2630.765697
10-Apr,3806.82,1306000,603012,2914.869832
10-May,5789.91,1306000,603012,4433.315467
10-Jun,8629.93,1306000,603012,6607.909648
10-Jul,9790.02,1306000,603012,7496.18683
10-Aug,9817.48,1306000,603012,7517.212864
10-Sep,9204.23,1306000,603012,7047.649311
10-Oct,5695.06,1306000,603012,4360.689127
10-Nov,3440.72,1306000,603012,2634.548239
10-Dec,3563.73,1306000,603012,2728.7366
11-Jan,3514,1306000,620250,2690.658499
11-Feb,3135,1306000,620250,2400.459418
11-Mar,3599,1306000,620250,2755.742726
11-Apr,4482,1306000,620250,3431.852986
11-May,6081,1306000,620250,4656.202144
11-Jun,8849,1306000,620250,6775.650842
11-Jul,8137,1306000,620250,6230.474732
11-Aug,10419,1306000,620250,7977.794793
11-Sep,7829,1306000,620250,5994.640123
11-Oct,5478,1306000,620250,4194.486983
11-Nov,3266,1306000,620250,2500.765697
11-Dec,3468,1306000,620250,2655.436447
12-Jan,3519.1,1306000,634965,2694.563553
12-Feb,3070.6,1306000,634965,2351.148545
12-Mar,3694.1,1306000,634965,2828.56049
12-Apr,5091.6,1306000,634965,3898.621746
12-May,7401,1306000,634965,5666.921899
12-Jun,9818.2,1306000,634965,7517.764165
12-Jul,9973.2,1306000,634965,7636.447167
12-Aug,10297.5,1306000,634965,7884.762634
12-Sep,8129.3,1306000,634965,6224.578867
12-Oct,4451.8,1306000,634965,3408.728943
12-Nov,3252.1,1306000,634965,2490.122511
12-Dec,3262.15,1306000,634965,2497.817764
13-Jan,3312.04,1306000,649270,2536.018377
13-Feb,3131.46,1306000,649270,2397.748851
13-Mar,3218.26,1306000,649270,2464.211332
13-Apr,3253.49,1306000,649270,2491.18683
13-May,5174.82,1306000,649270,3962.343032
13-Jun,8421.76,1306000,649270,6448.514548
13-Jul,8826.11,1306000,649270,6758.124043
13-Aug,8196.73,1306000,649270,6276.209801
13-Sep,5927.25,1306000,649270,4538.476263
13-Oct,3979.47,1306000,649270,3047.067381
13-Nov,3269.9,1306000,649270,2503.751914
13-Dec,3484.11,1306000,649270,2667.771822
14-Jan,3532.35,1306000,664540,2704.709035
14-Feb,3257.48,1306000,664540,2494.24196
14-Mar,3502.08,1306000,664540,2681.531394
14-Apr,3873.75,1306000,664540,2966.117917
14-May,5840.54,1306000,664540,4472.082695
14-Jun,7761.86,1306000,664540,5943.23124
14-Jul,8899.91,1306000,664540,6814.632466
14-Aug,7549.75,1306000,664540,5780.819296
14-Sep,6064.91,1306000,664540,4643.882083
14-Oct,4378.92,1306000,664540,3352.924962
14-Nov,3350.5,1306000,664540,2565.467075
14-Dec,3165.04,1306000,664540,2423.460949
15-Jan,3397.45,1306000,683328,2601.416539
15-Feb,3051.41,1306000,683328,2336.454824
15-Mar,3505.72,1306000,683328,2684.31853
15-Apr,3654.11,1306000,683328,2797.940276
15-May,3871.5,1306000,683328,2964.3951
15-Jun,5730.29,1306000,683328,4387.664625
15-Jul,7958.83,1306000,683328,6094.050536
15-Aug,8989.29,1306000,683328,6883.070444
15-Sep,8391.03,1306000,683328,6424.984686
15-Oct,5293.23,1306000,683328,4053.009188
15-Nov,3178.25,1306000,683328,2433.575804
15-Dec,3119.76,1306000,683328,2388.790199
16-Jan,3327.69,1306000,696273,2548.001531
16-Feb,3193.35,1306000,696273,2445.137825
16-Mar,3127.92,1306000,696273,2395.038285
16-Apr,3225.16,1306000,696273,2469.49464
16-May,4532.69,1306000,696273,3470.666156
16-Jun,8215.12,1306000,696273,6290.290965
16-Jul,9803.51,1306000,696273,7506.51608
16-Aug,9274.51,1306000,696273,7101.462481
16-Sep,7849.93,1306000,696273,6010.666156
16-Oct,5719.92,1306000,696273,4379.724349
16-Nov,3444.19,1306000,696273,2637.205207
16-Dec,3249.82,1306000,696273,2488.376723
17-Jan,3543.79,1306000,704869,2713.468606
17-Feb,3055.99,1306000,704869,2339.961715
17-Mar,3417.81,1306000,704869,2617.006126
17-Apr,4039.84,1306000,704869,3093.292496
17-May,4817.15,1306000,704869,3688.476263
17-Jun,8361.18,1306000,704869,6402.128637
17-Jul,9850.77,1306000,704869,7542.70291
17-Aug,8299.64,1306000,704869,6355.007657
17-Sep,7811.81,1306000,704869,5981.477795
17-Oct,4164.68,1306000,704869,3188.882083
17-Nov,3210.31,1306000,704869,2458.124043
17-Dec,3264.04,1306000,704869,2499.264931
18-Jan,3196.97,1306000,716340,2447.909648
18-Feb,2861.66,1306000,716340,2191.163859
18-Mar,3199.83,1306000,716340,2450.099541
18-Apr,3759.3,1306000,716340,2878.48392
18-May,6166.52,1306000,716340,4721.684533
18-Jun,9509.86,1306000,716340,7281.669219
18-Jul,9790.16,1306000,716340,7496.294028
18-Aug,9136.65,1306000,716340,6995.903522
18-Sep,8243.54,1306000,716340,6312.052067
18-Oct,4562.95,1306000,716340,3493.836141
18-Nov,3308.62,1306000,716340,2533.399694
18-Dec,3367.15,1306000,716340,2578.215926
