datetime,release volume_acft
4/1/34,11662.8099
4/2/34,12039.6694
4/3/34,11583.4711
4/4/34,11285.9504
4/5/34,10988.4298
4/6/34,10790.0826
4/7/34,11662.8099
4/8/34,12277.686
4/9/34,12376.8595
4/10/34,12476.0331
4/11/34,12277.686
4/12/34,12178.5124
4/13/34,12238.0165
4/14/34,12039.6694
4/15/34,11722.3141
4/16/34,11067.7686
4/17/34,11147.1074
4/18/34,11285.9504
4/19/34,12376.8595
4/20/34,15709.0909
4/21/34,16561.9835
4/22/34,19775.2066
4/23/34,19775.2066
4/24/34,19219.8347
4/25/34,18644.6281
4/26/34,18148.7603
4/27/34,19497.5207
4/28/34,21223.1405
4/29/34,23603.3058
4/30/34,24198.3471
5/1/34,25586.7769
5/2/34,27173.5537
5/3/34,29157.0248
5/4/34,29355.3719
5/5/34,28958.6777
5/6/34,28363.6364
5/7/34,30545.4546
5/8/34,34512.3967
5/9/34,30347.1074
5/10/34,29157.0248
5/11/34,27173.5537
5/12/34,27371.9008
5/13/34,31140.4959
5/14/34,38082.6446
5/15/34,43438.0165
5/16/34,48396.6942
5/17/34,49586.7769
5/18/34,49785.124
5/19/34,49388.4298
5/20/34,44628.0992
5/21/34,39867.7686
5/22/34,39471.0744
5/23/34,39669.4215
5/24/34,40264.4628
5/25/34,38876.0331
5/26/34,37685.9504
5/27/34,36099.1736
5/28/34,35900.8265
5/29/34,33917.3554
5/30/34,31338.843
5/31/34,35504.1322
6/1/34,34710.7438
6/2/34,37289.2562
6/3/34,36099.1736
6/4/34,34314.0496
6/5/34,36892.562
6/6/34,36892.562
6/7/34,33917.3554
6/8/34,31735.5372
6/9/34,28165.2893
6/10/34,26380.1653
6/11/34,24991.7355
6/12/34,23801.6529
6/13/34,23008.2645
6/14/34,21024.7934
6/15/34,19576.8595
6/16/34,18287.6033
6/17/34,17335.5372
6/18/34,15927.2727
6/19/34,14697.5207
6/20/34,13983.4711
6/21/34,13051.2397
6/22/34,12000
6/23/34,11504.1322
6/24/34,10710.7438
6/25/34,10076.0331
6/26/34,9897.52066
6/27/34,9639.66942
6/28/34,8766.94215
6/29/34,8489.2562
6/30/34,8132.2314
7/1/34,7755.3719
7/2/34,7180.16529
7/3/34,6981.81818
7/4/34,6882.64463
7/5/34,6545.45455
7/6/34,7001.65289
7/7/34,7080.99174
7/8/34,6585.12397
7/9/34,6545.45455
7/10/34,6307.43802
7/11/34,6208.26446
7/12/34,5851.23967
7/13/34,5613.22314
7/14/34,5315.70248
7/15/34,5157.02479
7/16/34,5196.69421
7/17/34,4899.17355
7/18/34,4680.99174
7/19/34,4641.32231
7/20/34,4522.31405
7/21/34,4423.1405
7/22/34,4423.1405
7/23/34,4304.13223
7/24/34,4363.63636
7/25/34,4680.99174
7/26/34,4363.63636
7/27/34,4522.31405
7/28/34,4482.64463
7/29/34,4839.66942
7/30/34,4800
7/31/34,4938.84298
8/1/34,5395.04132
8/2/34,4542.14876
8/3/34,4542.14876
8/4/34,5890.90909
8/5/34,5672.72727
8/6/34,5494.21488
8/7/34,4978.5124
8/8/34,5613.22314
8/9/34,4740.49587
8/10/34,4839.66942
8/11/34,4442.97521
8/12/34,4423.1405
8/13/34,3986.77686
8/14/34,3847.93388
8/15/34,4323.96694
8/16/34,4343.80165
8/17/34,3986.77686
8/18/34,4026.44628
8/19/34,4482.64463
8/20/34,4482.64463
8/21/34,4383.47107
8/22/34,4522.31405
8/23/34,6466.1157
8/24/34,6604.95868
8/25/34,6188.42975
8/26/34,6783.47107
8/27/34,5970.24793
8/28/34,5593.38843
8/29/34,5692.56198
8/30/34,5950.41322
8/31/34,9560.33058
9/1/34,12674.3802
9/2/34,14638.0165
9/3/34,18009.9174
9/4/34,13051.2397
9/5/34,10135.5372
9/6/34,9183.47107
9/7/34,7319.00826
9/8/34,6466.1157
9/9/34,5831.40496
9/10/34,5890.90909
9/11/34,5533.8843
9/12/34,5434.71074
9/13/34,4839.66942
9/14/34,4720.66116
9/15/34,4800
9/16/34,4720.66116
9/17/34,4581.81818
9/18/34,4284.29752
9/19/34,4284.29752
9/20/34,4085.95041
9/21/34,4284.29752
9/22/34,4899.17355
9/23/34,4919.00826
9/24/34,5395.04132
9/25/34,5077.68595
9/26/34,4879.33884
9/27/34,4621.4876
9/28/34,4363.63636
9/29/34,4125.61983
9/30/34,4006.61157
10/1/34,7180.16529
10/2/34,8370.24793
10/3/34,7319.00826
10/4/34,6684.29752
10/5/34,6168.59504
10/6/34,7100.82645
10/7/34,7219.83471
10/8/34,7001.65289
10/9/34,6604.95868
10/10/34,6565.28926
10/11/34,6366.94215
10/12/34,6287.60331
10/13/34,6188.42975
10/14/34,6128.92562
10/15/34,5791.73554
10/16/34,5712.39669
10/17/34,5593.38843
10/18/34,5771.90083
10/19/34,5474.38017
10/20/34,5533.8843
10/21/34,5256.19835
10/22/34,5256.19835
10/23/34,5593.38843
10/24/34,5494.21488
10/25/34,5652.89256
10/26/34,5692.56198
10/27/34,5930.57851
10/28/34,5791.73554
10/29/34,5831.40496
10/30/34,5752.06612
10/31/34,5831.40496
11/1/34,5990.08264
11/2/34,6089.2562
11/3/34,6109.09091
11/4/34,6029.75207
11/5/34,6109.09091
11/6/34,6128.92562
11/7/34,5970.24793
11/8/34,6109.09091
11/9/34,6049.58678
11/10/34,6049.58678
11/11/34,5990.08264
11/12/34,5890.90909
11/13/34,6069.42149
11/14/34,6228.09917
11/15/34,6485.95041
11/16/34,6723.96694
11/17/34,6664.46281
11/18/34,7160.33058
11/19/34,7338.84298
11/20/34,7755.3719
11/21/34,8251.23967
11/22/34,8112.39669
11/23/34,7814.87603
11/24/34,7874.38017
11/25/34,8310.7438
11/26/34,8171.90083
11/27/34,8489.2562
11/28/34,8310.7438
11/29/34,8548.76033
11/30/34,8548.76033
12/1/34,8548.76033
12/2/34,8608.26446
12/3/34,8727.27273
12/4/34,8786.77686
12/5/34,8548.76033
12/6/34,8667.7686
12/7/34,8786.77686
12/8/34,8667.7686
12/9/34,8310.7438
12/10/34,8251.23967
12/11/34,7874.38017
12/12/34,7398.34711
12/13/34,7100.82645
12/14/34,7219.83471
12/15/34,7219.83471
12/16/34,7695.86777
12/17/34,8667.7686
12/18/34,8171.90083
12/19/34,8786.77686
12/20/34,9104.13223
12/21/34,9857.85124
12/22/34,10115.7025
12/23/34,9798.34711
12/24/34,9917.35537
12/25/34,10234.7107
12/26/34,10314.0496
12/27/34,9798.34711
12/28/34,9480.99174
12/29/34,9421.4876
12/30/34,9540.49587
12/31/34,9600
1/1/35,9024.79339
1/2/35,9024.79339
1/3/35,9024.79339
1/4/35,8925.61983
1/5/35,9044.6281
1/6/35,9163.63636
1/7/35,9282.64463
1/8/35,8885.95041
1/9/35,8628.09917
1/10/35,8608.26446
1/11/35,8211.57025
1/12/35,8687.60331
1/13/35,9044.6281
1/14/35,9024.79339
1/15/35,11444.6281
1/16/35,14439.6694
1/17/35,13844.6281
1/18/35,12099.1736
1/19/35,11920.6612
1/20/35,12892.562
1/21/35,12555.3719
1/22/35,12000
1/23/35,11067.7686
1/24/35,10197.0248
1/25/35,9957.02479
1/26/35,9203.30579
1/27/35,8152.06612
1/28/35,6902.47934
1/29/35,6426.44628
1/30/35,6307.43802
1/31/35,6366.94215
2/1/35,5057.85124
2/2/35,6287.60331
2/3/35,4363.63636
2/4/35,10135.5372
2/5/35,10413.2231
2/6/35,9877.68595
2/7/35,8290.90909
2/8/35,8707.43802
2/9/35,6247.93388
2/10/35,0
2/11/35,366.94215
2/12/35,733.8843
2/13/35,1269.42149
2/14/35,4919.00826
2/15/35,5930.57851
2/16/35,6128.92562
2/17/35,8132.2314
2/18/35,8251.23967
2/19/35,8290.90909
2/20/35,8152.06612
2/21/35,7001.65289
2/22/35,10016.5289
2/23/35,10095.8678
2/24/35,10115.7025
2/25/35,10115.7025
2/26/35,10115.7025
2/27/35,10690.9091
2/28/35,12000
3/1/35,13685.9504
3/2/35,14241.3223
3/3/35,14241.3223
3/4/35,13804.9587
3/5/35,12297.5207
3/6/35,11206.6116
3/7/35,11761.9835
3/8/35,13586.7769
3/9/35,14042.9752
3/10/35,13943.8017
3/11/35,13904.1322
3/12/35,13864.4628
3/13/35,13785.124
3/14/35,13725.6198
3/15/35,13646.281
3/16/35,13586.7769
3/17/35,13487.6033
3/18/35,13884.2975
3/19/35,14142.1488
3/20/35,14102.4793
3/21/35,14142.1488
3/22/35,14161.9835
3/23/35,14181.8182
3/24/35,14181.8182
3/25/35,14221.4876
3/26/35,14201.6529
3/27/35,14181.8182
3/28/35,14161.9835
3/29/35,14519.0083
3/30/35,15252.8926
3/31/35,15213.2231
4/1/35,15133.8843
4/2/35,15133.8843
4/3/35,15133.8843
4/4/35,15213.2231
4/5/35,14757.0248
4/6/35,14181.8182
4/7/35,14439.6694
4/8/35,14618.1818
4/9/35,14082.6446
4/10/35,12773.5537
4/11/35,13586.7769
4/12/35,14400
4/13/35,14300.8265
4/14/35,14796.6942
4/15/35,14677.686
4/16/35,13864.4628
4/17/35,13884.2975
4/18/35,13943.8017
4/19/35,14400
4/20/35,15074.3802
4/21/35,15153.719
4/22/35,14995.0413
4/23/35,14479.3388
4/24/35,13983.4711
4/25/35,14221.4876
4/26/35,14221.4876
4/27/35,14023.1405
4/28/35,14221.4876
4/29/35,14161.9835
4/30/35,13864.4628
5/1/35,12733.8843
5/2/35,13824.7934
5/3/35,14042.9752
