datetime,storage_acft
5/28/37,10046048.3
5/29/37,10138665
5/30/37,10228958.7
5/31/37,10302056.6
6/1/37,10373112.5
6/2/37,10446189.6
6/3/37,10532678.7
6/4/37,10630357.4
6/5/37,10725404.3
6/6/37,10808609.1
6/7/37,10890493
6/8/37,10968202.6
6/9/37,11046502.2
6/10/37,11114903.1
6/11/37,11171603.5
6/12/37,11227563.1
6/13/37,11277606.4
6/14/37,11321284.7
6/15/37,11360419.6
6/16/37,11396801.8
6/17/37,11433704.8
6/18/37,11472398.7
6/19/37,11511973.6
6/20/37,11547314.1
6/21/37,11581683.6
6/22/37,11613881.3
6/23/37,11649762.7
6/24/37,11688595.5
6/25/37,11724866.8
6/26/37,11763000
6/27/37,11800202.3
6/28/37,11837404.5
6/29/37,11874595.5
6/30/37,11905292.7
7/1/37,11936909.5
7/2/37,11969677.2
7/3/37,12002575
7/4/37,12031720.5
7/5/37,12059925
7/6/37,12077779.5
7/7/37,12096575
7/8/37,12114440.9
7/9/37,12129484.1
7/10/37,12138901.9
7/11/37,12153154.2
7/12/37,12162651.9
7/13/37,12175953.2
7/14/37,12193997.7
7/15/37,12222502.3
7/16/37,12232000
7/17/37,12232000
7/18/37,12232000
7/19/37,12279500
7/20/37,12355504.6
7/21/37,12423921.9
7/22/37,12447921.9
7/23/37,12469039.1
7/24/37,12482480.5
7/25/37,12494000
7/26/37,12499765.6
7/27/37,12504558.6
7/28/37,12506480.5
7/29/37,12505519.5
7/30/37,12502636.7
7/31/37,12496882.8
8/1/37,12492078.1
8/2/37,12495921.9
8/3/37,12495921.9
8/4/37,12494000
8/5/37,12492078.1
8/6/37,12487285.2
8/7/37,12481519.5
8/8/37,12476714.8
8/9/37,12470960.9
8/10/37,12463285.2
8/11/37,12456558.6
8/12/37,12446960.9
8/13/37,12435441.4
8/14/37,12424882.8
8/15/37,12406808.3
8/16/37,12385911.1
8/17/37,12359308.3
8/18/37,12334607.4
8/19/37,12311808.3
8/20/37,12283303.7
