datetime,release volume_acft
3/14/63,2578.5124
3/15/63,2499.17355
3/16/63,2419.83471
3/17/63,2499.17355
3/18/63,2400
3/19/63,2142.14876
3/20/63,2082.64463
3/21/63,2102.47934
3/22/63,2102.47934
3/23/63,2082.64463
3/24/63,2082.64463
3/25/63,2102.47934
3/26/63,2082.64463
3/27/63,2082.64463
3/28/63,2062.80992
3/29/63,2082.64463
3/30/63,2042.97521
3/31/63,2062.80992
4/1/63,2042.97521
4/2/63,2042.97521
4/3/63,2042.97521
4/4/63,2042.97521
4/5/63,2062.80992
4/6/63,2023.1405
4/7/63,2023.1405
4/8/63,2042.97521
4/9/63,2023.1405
4/10/63,2023.1405
4/11/63,1963.63636
4/12/63,1963.63636
4/13/63,2003.30579
4/14/63,2023.1405
4/15/63,2023.1405
4/16/63,2003.30579
4/17/63,1943.80165
4/18/63,1963.63636
4/19/63,2003.30579
4/20/63,2003.30579
4/21/63,2003.30579
4/22/63,2023.1405
4/23/63,2003.30579
4/24/63,2023.1405
4/25/63,2023.1405
4/26/63,2042.97521
4/27/63,2023.1405
4/28/63,2023.1405
4/29/63,2042.97521
4/30/63,2023.1405
5/1/63,2023.1405
5/2/63,2042.97521
5/3/63,2023.1405
5/4/63,2003.30579
5/5/63,2003.30579
5/6/63,2003.30579
5/7/63,2003.30579
5/8/63,2003.30579
5/9/63,2003.30579
5/10/63,1983.47107
5/11/63,1983.47107
5/12/63,1983.47107
5/13/63,2003.30579
5/14/63,2023.1405
5/15/63,2042.97521
5/16/63,1983.47107
5/17/63,1983.47107
5/18/63,2023.1405
5/19/63,2042.97521
5/20/63,2062.80992
5/21/63,2003.30579
5/22/63,2003.30579
5/23/63,2023.1405
5/24/63,2003.30579
5/25/63,1983.47107
5/26/63,2003.30579
5/27/63,1983.47107
5/28/63,1983.47107
5/29/63,2003.30579
5/30/63,1943.80165
5/31/63,1963.63636
6/1/63,1983.47107
6/2/63,2003.30579
6/3/63,3074.38017
6/4/63,4899.17355
6/5/63,4958.67769
6/6/63,4899.17355
6/7/63,4859.50413
6/8/63,4859.50413
6/9/63,4839.66942
6/10/63,4859.50413
6/11/63,4899.17355
6/12/63,4919.00826
6/13/63,5038.01653
6/14/63,5057.85124
6/15/63,5057.85124
6/16/63,5057.85124
6/17/63,4998.34711
6/18/63,4958.67769
6/19/63,4958.67769
6/20/63,4958.67769
6/21/63,4958.67769
6/22/63,4919.00826
6/23/63,4958.67769
6/24/63,4958.67769
6/25/63,4919.00826
6/26/63,4919.00826
6/27/63,4919.00826
6/28/63,4919.00826
6/29/63,4919.00826
6/30/63,4899.17355
7/1/63,4859.50413
7/2/63,4899.17355
7/3/63,4919.00826
7/4/63,4899.17355
7/5/63,4899.17355
7/6/63,4899.17355
7/7/63,4899.17355
7/8/63,4919.00826
7/9/63,4958.67769
7/10/63,3808.26446
7/11/63,2042.97521
7/12/63,2003.30579
7/13/63,1963.63636
7/14/63,1963.63636
7/15/63,1963.63636
7/16/63,1963.63636
7/17/63,1983.47107
7/18/63,1983.47107
7/19/63,1983.47107
7/20/63,1983.47107
7/21/63,1983.47107
7/22/63,1983.47107
7/23/63,2003.30579
7/24/63,2003.30579
7/25/63,2003.30579
7/26/63,1983.47107
7/27/63,1983.47107
7/28/63,1983.47107
7/29/63,1983.47107
7/30/63,1963.63636
7/31/63,1963.63636
8/1/63,1983.47107
8/2/63,1983.47107
8/3/63,2003.30579
8/4/63,2003.30579
8/5/63,1983.47107
8/6/63,1983.47107
8/7/63,1983.47107
8/8/63,1983.47107
8/9/63,1983.47107
8/10/63,1983.47107
8/11/63,1983.47107
8/12/63,1983.47107
8/13/63,2003.30579
8/14/63,2003.30579
8/15/63,2003.30579
8/16/63,2023.1405
8/17/63,2023.1405
8/18/63,2042.97521
8/19/63,2003.30579
8/20/63,1943.80165
8/21/63,1943.80165
8/22/63,1963.63636
8/23/63,1963.63636
8/24/63,1963.63636
8/25/63,1963.63636
8/26/63,1963.63636
8/27/63,1983.47107
8/28/63,1983.47107
8/29/63,1983.47107
8/30/63,2181.81818
8/31/63,2023.1405
9/1/63,1983.47107
9/2/63,1983.47107
9/3/63,1983.47107
9/4/63,1983.47107
9/5/63,1983.47107
9/6/63,1963.63636
9/7/63,1963.63636
9/8/63,1983.47107
9/9/63,1983.47107
9/10/63,2003.30579
9/11/63,2003.30579
9/12/63,2023.1405
9/13/63,2042.97521
9/14/63,2042.97521
9/15/63,2042.97521
9/16/63,2003.30579
9/17/63,2003.30579
9/18/63,2003.30579
9/19/63,2003.30579
9/20/63,2003.30579
9/21/63,2003.30579
9/22/63,2003.30579
9/23/63,2003.30579
9/24/63,1983.47107
9/25/63,1983.47107
9/26/63,1983.47107
9/27/63,1983.47107
9/28/63,1983.47107
9/29/63,1983.47107
9/30/63,1983.47107
10/1/63,1983.47107
10/2/63,1983.47107
10/3/63,1983.47107
10/4/63,1983.47107
10/5/63,1983.47107
10/6/63,1983.47107
10/7/63,1983.47107
10/8/63,1983.47107
10/9/63,1983.47107
10/10/63,1983.47107
10/11/63,1983.47107
10/12/63,1983.47107
10/13/63,1983.47107
10/14/63,1983.47107
10/15/63,1983.47107
10/16/63,1983.47107
10/17/63,1983.47107
10/18/63,1983.47107
10/19/63,1983.47107
10/20/63,1983.47107
10/21/63,1983.47107
10/22/63,1983.47107
10/23/63,1983.47107
10/24/63,1983.47107
10/25/63,1983.47107
10/26/63,1983.47107
10/27/63,1983.47107
10/28/63,1983.47107
10/29/63,1983.47107
10/30/63,1983.47107
10/31/63,1983.47107
11/1/63,1983.47107
11/2/63,1983.47107
11/3/63,1983.47107
11/4/63,1983.47107
11/5/63,1983.47107
11/6/63,1983.47107
11/7/63,1983.47107
11/8/63,1983.47107
11/9/63,1983.47107
11/10/63,1983.47107
11/11/63,1983.47107
11/12/63,1983.47107
11/13/63,1983.47107
11/14/63,1983.47107
11/15/63,1983.47107
11/16/63,2003.30579
11/17/63,1983.47107
11/18/63,1983.47107
11/19/63,1983.47107
11/20/63,1983.47107
11/21/63,1983.47107
11/22/63,1983.47107
11/23/63,1983.47107
11/24/63,1983.47107
11/25/63,1983.47107
11/26/63,1983.47107
11/27/63,1983.47107
11/28/63,1983.47107
11/29/63,1983.47107
11/30/63,1983.47107
12/1/63,1983.47107
12/2/63,2003.30579
12/3/63,2023.1405
12/4/63,2042.97521
12/5/63,2042.97521
12/6/63,2042.97521
12/7/63,2042.97521
12/8/63,2042.97521
12/9/63,2042.97521
12/10/63,2042.97521
12/11/63,2042.97521
12/12/63,2042.97521
12/13/63,2042.97521
12/14/63,2042.97521
12/15/63,2042.97521
12/16/63,2042.97521
12/17/63,2042.97521
12/18/63,2023.1405
12/19/63,2023.1405
12/20/63,2023.1405
12/21/63,2023.1405
12/22/63,2023.1405
12/23/63,2042.97521
12/24/63,2042.97521
12/25/63,2042.97521
12/26/63,2042.97521
12/27/63,2042.97521
12/28/63,1943.80165
12/29/63,1943.80165
12/30/63,1943.80165
12/31/63,1943.80165
1/1/64,1943.80165
1/2/64,1943.80165
1/3/64,1943.80165
1/4/64,1943.80165
1/5/64,1943.80165
1/6/64,1943.80165
1/7/64,1943.80165
1/8/64,1943.80165
1/9/64,1963.63636
1/10/64,1963.63636
1/11/64,1963.63636
1/12/64,1963.63636
1/13/64,1963.63636
1/14/64,1963.63636
1/15/64,1963.63636
1/16/64,1963.63636
1/17/64,1963.63636
1/18/64,1963.63636
1/19/64,1963.63636
1/20/64,1963.63636
1/21/64,1963.63636
1/22/64,1963.63636
1/23/64,1963.63636
1/24/64,1983.47107
1/25/64,1983.47107
1/26/64,1983.47107
1/27/64,1983.47107
1/28/64,1983.47107
1/29/64,2261.15702
1/30/64,5851.23967
1/31/64,7874.38017
2/1/64,7874.38017
2/2/64,7874.38017
2/3/64,7914.04959
2/4/64,7993.38843
2/5/64,7993.38843
2/6/64,7993.38843
2/7/64,7993.38843
2/8/64,7953.71901
2/9/64,7914.04959
2/10/64,7914.04959
2/11/64,7914.04959
2/12/64,7914.04959
2/13/64,7914.04959
2/14/64,7914.04959
2/15/64,7914.04959
2/16/64,7914.04959
2/17/64,7914.04959
2/18/64,7914.04959
2/19/64,7953.71901
2/20/64,7953.71901
2/21/64,7953.71901
2/22/64,7953.71901
2/23/64,7953.71901
2/24/64,7914.04959
2/25/64,7914.04959
2/26/64,7953.71901
2/27/64,8052.89256
2/28/64,8092.56198
2/29/64,8132.2314
3/1/64,7993.38843
3/2/64,7953.71901
3/3/64,7953.71901
3/4/64,7953.71901
3/5/64,7953.71901
3/6/64,7993.38843
3/7/64,7993.38843
3/8/64,7953.71901
3/9/64,7953.71901
3/10/64,7993.38843
3/11/64,7993.38843
3/12/64,7993.38843
3/13/64,8033.05785
3/14/64,8033.05785
3/15/64,8033.05785
3/16/64,8033.05785
3/17/64,8033.05785
3/18/64,8033.05785
3/19/64,8033.05785
3/20/64,8033.05785
3/21/64,8033.05785
3/22/64,8033.05785
3/23/64,8033.05785
3/24/64,8033.05785
3/25/64,8033.05785
3/26/64,12852.8926
3/27/64,25388.4298
3/28/64,37487.6033
3/29/64,37685.9504
3/30/64,37884.2975
3/31/64,36892.562
4/1/64,33123.9669
4/2/64,33520.6612
4/3/64,31735.5372
4/4/64,24396.6942
4/5/64,24198.3471
4/6/64,24198.3471
4/7/64,24198.3471
4/8/64,24198.3471
4/9/64,24198.3471
4/10/64,24198.3471
4/11/64,24198.3471
4/12/64,24000
4/13/64,24000
4/14/64,24000
4/15/64,24000
4/16/64,23801.6529
4/17/64,22809.9174
4/18/64,21223.1405
4/19/64,21223.1405
4/20/64,21421.4876
4/21/64,21421.4876
4/22/64,21421.4876
4/23/64,21421.4876
4/24/64,21421.4876
4/25/64,21421.4876
4/26/64,21421.4876
4/27/64,26578.5124
4/28/64,39669.4215
4/29/64,38876.0331
4/30/64,38280.9917
5/1/64,33719.0083
5/2/64,25190.0826
5/3/64,24793.3884
5/4/64,25785.124
5/5/64,27570.2479
5/6/64,25785.124
5/7/64,25388.4298
5/8/64,24793.3884
5/9/64,24793.3884
5/10/64,24793.3884
5/11/64,16066.1157
5/12/64,2102.47934
5/13/64,2023.1405
5/14/64,1983.47107
5/15/64,1963.63636
5/16/64,1963.63636
5/17/64,1963.63636
5/18/64,1963.63636
5/19/64,1983.47107
5/20/64,1983.47107
5/21/64,2003.30579
5/22/64,2003.30579
5/23/64,2023.1405
5/24/64,2023.1405
5/25/64,2042.97521
5/26/64,2062.80992
5/27/64,2062.80992
5/28/64,2042.97521
5/29/64,1983.47107
5/30/64,2003.30579
5/31/64,2003.30579
6/1/64,2023.1405
6/2/64,2042.97521
6/3/64,2042.97521
6/4/64,2042.97521
6/5/64,2042.97521
6/6/64,2062.80992
6/7/64,2062.80992
6/8/64,2062.80992
6/9/64,1850.57851
6/10/64,1939.83471
6/11/64,1963.63636
6/12/64,1943.80165
6/13/64,1963.63636
6/14/64,1983.47107
6/15/64,1983.47107
6/16/64,1983.47107
6/17/64,2003.30579
6/18/64,2003.30579
6/19/64,2003.30579
6/20/64,1983.47107
6/21/64,1983.47107
6/22/64,2003.30579
6/23/64,1943.80165
6/24/64,1943.80165
6/25/64,1943.80165
6/26/64,1943.80165
6/27/64,1963.63636
6/28/64,1963.63636
6/29/64,1963.63636
6/30/64,1943.80165
7/1/64,1963.63636
7/2/64,1963.63636
7/3/64,1983.47107
7/4/64,1983.47107
7/5/64,2003.30579
7/6/64,2003.30579
7/7/64,2023.1405
7/8/64,2003.30579
7/9/64,1983.47107
7/10/64,1884.29752
7/11/64,1884.29752
7/12/64,1884.29752
7/13/64,1884.29752
7/14/64,1904.13223
7/15/64,1864.46281
7/16/64,1844.6281
7/17/64,1844.6281
7/18/64,1824.79339
7/19/64,1824.79339
7/20/64,1844.6281
7/21/64,1904.13223
7/22/64,1923.96694
7/23/64,1943.80165
7/24/64,1943.80165
7/25/64,1943.80165
7/26/64,1983.47107
7/27/64,1983.47107
7/28/64,1983.47107
7/29/64,1983.47107
7/30/64,2003.30579
7/31/64,2082.64463
8/1/64,2082.64463
8/2/64,2042.97521
8/3/64,2023.1405
8/4/64,2003.30579
8/5/64,2003.30579
8/6/64,2003.30579
8/7/64,2003.30579
8/8/64,2003.30579
8/9/64,2003.30579
8/10/64,2023.1405
8/11/64,2023.1405
8/12/64,2023.1405
8/13/64,2023.1405
8/14/64,2023.1405
8/15/64,2023.1405
8/16/64,2023.1405
8/17/64,5970.24793
8/18/64,11781.8182
8/19/64,11841.3223
8/20/64,12019.8347
8/21/64,12019.8347
8/22/64,12019.8347
8/23/64,12019.8347
8/24/64,11960.3306
8/25/64,9937.19008
8/26/64,7438.01653
8/27/64,7438.01653
8/28/64,7557.02479
8/29/64,7557.02479
8/30/64,7398.34711
8/31/64,5077.68595
9/1/64,3570.24793
9/2/64,5375.20661
9/3/64,1963.63636
9/4/64,5236.36364
9/5/64,5633.05785
9/6/64,5712.39669
9/7/64,5831.40496
9/8/64,4740.49587
9/9/64,5256.19835
9/10/64,6128.92562
9/11/64,5573.55372
9/12/64,5633.05785
9/13/64,4462.80992
9/14/64,4958.67769
9/15/64,5077.68595
9/16/64,4899.17355
9/17/64,1977.52066
9/18/64,5038.01653
9/19/64,4958.67769
9/20/64,4085.95041
9/21/64,3986.77686
9/22/64,5236.36364
9/23/64,4720.66116
9/24/64,4442.97521
9/25/64,4006.61157
9/26/64,6009.91736
9/27/64,6089.2562
9/28/64,6128.92562
9/29/64,8171.90083
9/30/64,11603.3058
10/1/64,11365.2893
10/2/64,10571.9008
10/3/64,11067.7686
10/4/64,11186.7769
10/5/64,11067.7686
10/6/64,11067.7686
10/7/64,9004.95868
10/8/64,7814.87603
10/9/64,8092.56198
10/10/64,8112.39669
10/11/64,9877.68595
10/12/64,9183.47107
10/13/64,7973.55372
10/14/64,8072.72727
10/15/64,7993.38843
10/16/64,8092.56198
10/17/64,7259.50413
10/18/64,7259.50413
10/19/64,7616.52893
10/20/64,7219.83471
10/21/64,7438.01653
10/22/64,7953.71901
10/23/64,8171.90083
10/24/64,8409.91736
10/25/64,8132.2314
10/26/64,8171.90083
10/27/64,8370.24793
10/28/64,8330.57851
10/29/64,8409.91736
10/30/64,7378.5124
10/31/64,7834.71074
11/1/64,7874.38017
11/2/64,7338.84298
11/3/64,10274.3802
11/4/64,11781.8182
11/5/64,10571.9008
11/6/64,6783.47107
11/7/64,12158.6777
11/8/64,11841.3223
11/9/64,12218.1818
11/10/64,12416.5289
11/11/64,12277.686
11/12/64,12158.6777
11/13/64,12099.1736
11/14/64,12158.6777
11/15/64,12218.1818
11/16/64,12277.686
11/17/64,12218.1818
11/18/64,12218.1818
11/19/64,12158.6777
11/20/64,12158.6777
11/21/64,12476.0331
11/22/64,12476.0331
11/23/64,12476.0331
11/24/64,12277.686
11/25/64,12476.0331
11/26/64,12535.5372
11/27/64,12595.0413
11/28/64,11781.8182
11/29/64,11603.3058
11/30/64,11603.3058
12/1/64,11722.3141
12/2/64,11722.3141
12/3/64,12019.8347
12/4/64,12019.8347
12/5/64,12019.8347
12/6/64,12019.8347
12/7/64,11960.3306
12/8/64,12158.6777
12/9/64,12158.6777
12/10/64,12158.6777
12/11/64,13051.2397
12/12/64,14261.157
12/13/64,13368.595
12/14/64,11722.3141
12/15/64,11305.7851
12/16/64,12178.5124
12/17/64,11960.3306
12/18/64,11900.8265
12/19/64,11543.8017
12/20/64,11464.4628
12/21/64,11722.3141
12/22/64,11781.8182
12/23/64,11781.8182
12/24/64,9600
12/25/64,5018.18182
12/26/64,6704.13223
12/27/64,8390.08264
12/28/64,18644.6281
12/29/64,26181.8182
12/30/64,24991.7355
12/31/64,20033.0579
1/1/65,16899.1736
1/2/65,16899.1736
1/3/65,16839.6694
1/4/65,14419.8347
1/5/65,15609.9174
1/6/65,16026.4463
1/7/65,17434.7107
1/8/65,18922.3141
1/9/65,18922.3141
1/10/65,18763.6364
1/11/65,18763.6364
1/12/65,17771.9008
1/13/65,17514.0496
1/14/65,18763.6364
1/15/65,18545.4546
1/16/65,17553.719
1/17/65,17831.405
1/18/65,18327.2727
1/19/65,19596.6942
1/20/65,19735.5372
1/21/65,14380.1653
1/22/65,14102.4793
1/23/65,19735.5372
1/24/65,19735.5372
1/25/65,19814.876
1/26/65,19814.876
1/27/65,19219.8347
